ticker,company_name,segment,sub_segment
BOMN,Boston Omaha Corporation,advertising_agencies,
CCO,"Clear Channel Outdoor Holdings, Inc.",advertising_agencies,
DLX,Deluxe Corporation,advertising_agencies,
EEX,"Emerald Holding, Inc.",advertising_agencies,
IAS,Integral Ad Science Holding Corp.,advertising_agencies,
IPG,"The Interpublic Group of Companies, Inc.",advertising_agencies,
MDCA,MDC Partners Inc.,advertising_agencies,
MGNI,"Magnite, Inc.",advertising_agencies,
MNTN,MNTN Inc.,advertising_agencies,
OMC,Omnicom Group Inc.,advertising_agencies,
QNST,"QuinStreet, Inc.",advertising_agencies,
STGW,Stagwell Inc.,advertising_agencies,
ZD,"Ziff Davis, Inc.",advertising_agencies,
