ticker,company_name,segment,sub_segment
ADM,Archer-Daniels-Midland Company,agricultural_farm_products,
AFRI,Forafric Global PLC,agricultural_farm_products,
AFRIW,Forafric Global PLC,agricultural_farm_products,
AGRO,Adecoagro S.A.,agricultural_farm_products,
AQB,"AquaBounty Technologies, Inc.",agricultural_farm_products,
BG,Bunge Global S.A.,agricultural_farm_products,
CALM,"Cal-Maine Foods, Inc.",agricultural_farm_products,
DOLE,Dole plc,agricultural_farm_products,
EDBL,Edible Garden AG Incorporated,agricultural_farm_products,
EDBLW,Edible Garden AG Incorporated,agricultural_farm_products,
FDP,Fresh Del Monte Produce Inc.,agricultural_farm_products,
LMNR,Limoneira Company,agricultural_farm_products,
LND,BrasilAgro - Companhia Brasileira de Propriedades Agrícolas,agricultural_farm_products,
LOCL,Local Bounti Corporation,agricultural_farm_products,
SFD,"Smithfield Foods, Inc.",agricultural_farm_products,
TSN,"Tyson Foods, Inc.",agricultural_farm_products,
VITL,"Vital Farms, Inc.",agricultural_farm_products,
