ticker,company_name,segment,sub_segment
CF,"CF Industries Holdings, Inc.",agricultural_inputs,
CTA-PA,"EIDP, Inc.",agricultural_inputs,
CTVA,"Corteva, Inc.",agricultural_inputs,
FMC,FMC Corporation,agricultural_inputs,
ICL,ICL Group Ltd,agricultural_inputs,
IPI,"Intrepid Potash, Inc.",agricultural_inputs,
MOS,The Mosaic Company,agricultural_inputs,
NTR,Nutrien Ltd.,agricultural_inputs,
PURR,Hyperliquid Strategies Inc Common Stock,agricultural_inputs,
SMG,The Scotts Miracle-Gro Company,agricultural_inputs,
UAN,"CVR Partners, LP",agricultural_inputs,
