ticker,company_name,segment,sub_segment
AGCO,AGCO Corporation,agricultural_machinery,
ALG,Alamo Group Inc.,agricultural_machinery,
ARTW,"Art's-Way Manufacturing Co., Inc.",agricultural_machinery,
ASTE,"Astec Industries, Inc.",agricultural_machinery,
CAT,Caterpillar Inc.,agricultural_machinery,
CMCO,Columbus McKinnon Corporation,agricultural_machinery,
CNH,CNH Industrial N.V.,agricultural_machinery,
DE,Deere & Company,agricultural_machinery,
GENC,"Gencor Industries, Inc.",agricultural_machinery,
HY,"Hyster-Yale Materials Handling, Inc.",agricultural_machinery,
LNN,Lindsay Corporation,agricultural_machinery,
MTW,"The Manitowoc Company, Inc.",agricultural_machinery,
OSK,Oshkosh Corporation,agricultural_machinery,
TEX,Terex Corporation,agricultural_machinery,
TWI,"Titan International, Inc.",agricultural_machinery,
WNC,Wabash National Corporation,agricultural_machinery,
