ticker,company_name,segment,sub_segment
AIN,Albany International Corp.,apparel_manufacturers,
COLM,Columbia Sportswear Company,apparel_manufacturers,
FIGS,"FIGS, Inc.",apparel_manufacturers,
GIII,"G-III Apparel Group, Ltd.",apparel_manufacturers,
HBI,Hanesbrands Inc.,apparel_manufacturers,
KTB,"Kontoor Brands, Inc.",apparel_manufacturers,
LEVI,Levi Strauss & Co.,apparel_manufacturers,
OXM,"Oxford Industries, Inc.",apparel_manufacturers,
PVH,PVH Corp.,apparel_manufacturers,
RL,Ralph Lauren Corporation,apparel_manufacturers,
UA,"Under Armour, Inc.",apparel_manufacturers,
UAA,"Under Armour, Inc.",apparel_manufacturers,
VFC,V.F. Corporation,apparel_manufacturers,
