ticker,company_name,segment,sub_segment
AEO,"American Eagle Outfitters, Inc.",apparel_retail,
ANF,Abercrombie & Fitch Co.,apparel_retail,
BEBE,"Bebe Stores, Inc.",apparel_retail,
BIRD,"Allbirds, Inc.",apparel_retail,
BKE,"The Buckle, Inc.",apparel_retail,
BOOT,"Boot Barn Holdings, Inc.",apparel_retail,
BURL,"Burlington Stores, Inc.",apparel_retail,
CATO,The Cato Corporation,apparel_retail,
CRI,"Carter's, Inc.",apparel_retail,
CTRN,"Citi Trends, Inc.",apparel_retail,
CURV,Torrid Holdings Inc.,apparel_retail,
DBGI,"Digital Brands Group, Inc.",apparel_retail,
DBI,Designer Brands Inc.,apparel_retail,
DLTH,Duluth Holdings Inc.,apparel_retail,
DXLG,"Destination XL Group, Inc.",apparel_retail,
GAP,"The Gap, Inc.",apparel_retail,
GCO,Genesco Inc.,apparel_retail,
JEM,707 Cayman Holdings Limited Ordinary Shares,apparel_retail,
JILL,"J.Jill, Inc.",apparel_retail,
LULU,Lululemon Athletica Inc.,apparel_retail,
LVLU,"Lulu's Fashion Lounge Holdings, Inc.",apparel_retail,
ONON,On Holding AG,apparel_retail,
PLCE,"The Children's Place, Inc.",apparel_retail,
RENT,"Rent the Runway, Inc.",apparel_retail,
ROST,"Ross Stores, Inc.",apparel_retail,
SCVL,"Shoe Carnival, Inc.",apparel_retail,
SFIX,"Stitch Fix, Inc.",apparel_retail,
TJX,"The TJX Companies, Inc.",apparel_retail,
TLYS,"Tilly's, Inc.",apparel_retail,
URBN,"Urban Outfitters, Inc.",apparel_retail,
VSCO,Victoria's Secret & Co.,apparel_retail,
ZUMZ,Zumiez Inc.,apparel_retail,
