ticker,company_name,segment,sub_segment
AAMI,Acadian Asset Management,asset_management,
AB,AllianceBernstein Holding L.P.,asset_management,
AMG,"Affiliated Managers Group, Inc.",asset_management,
AMP,"Ameriprise Financial, Inc.",asset_management,
APAM,Artisan Partners Asset Management Inc.,asset_management,
APOS,"Apollo Global Management, Inc.",asset_management,
ARCC,Ares Capital Corporation,asset_management,
ARES,Ares Management Corporation,asset_management,
ASA,ASA Gold and Precious Metals Limited,asset_management,
ASST,"Strive, Inc.",asset_management,
ATHS,Athene Holding Ltd. 7.250% Fixe,asset_management,
BAM,Brookfield Asset Management Ltd.,asset_management,
BBT,Beacon Financial Corp.,asset_management,
BBUC,Brookfield Business Corporation,asset_management,
BCSF,"Bain Capital Specialty Finance, Inc.",asset_management,
BEN,"Franklin Resources, Inc.",asset_management,
BK,The Bank of New York Mellon Corporation,asset_management,
BLK,"BlackRock, Inc.",asset_management,
BN,Brookfield Corporation,asset_management,
BRBI,BRBI BR Partners S.A. ADSs,asset_management,
BUR,Burford Capital Limited,asset_management,
BX,Blackstone Inc.,asset_management,
CET,Central Securities Corp.,asset_management,
CG,The Carlyle Group Inc.,asset_management,
CGBD,"Carlyle Secured Lending, Inc.",asset_management,
CNS,"Cohen & Steers, Inc.",asset_management,
CRBG,"Corebridge Financial, Inc.",asset_management,
CSWC,Capital Southwest Corporation,asset_management,
ECC,Eagle Point Credit Company Inc.,asset_management,
ECCC,Eagle Point Credit Company Inc.,asset_management,
ECCU,Eagle Point Credit Company Inc.,asset_management,
ECCV,Eagle Point Credit Company Inc.,asset_management,
ECCW,Eagle Point Credit Company Inc.,asset_management,
FDUS,Fidus Investment Corporation,asset_management,
FHI,"Federated Hermes, Inc.",asset_management,
FSCO,FS Credit Opportunities Corp.,asset_management,
FSK,FS KKR Capital Corp.,asset_management,
GAIN,Gladstone Investment Corporation,asset_management,
GAINI,Gladstone Investment Corporation,asset_management,
GAM,"General American Investors Company, Inc.",asset_management,
GCMG,GCM Grosvenor Inc.,asset_management,
GENB,"Generate Biomedicines, Inc.",asset_management,
HCXY,"Hercules Capital, Inc.",asset_management,
HLNE,Hamilton Lane Incorporated,asset_management,
HQH,Abrdn Healthcare Investors,asset_management,
HTFC,Horizon Technology Finance Corp,asset_management,
HTGC,"Hercules Capital, Inc.",asset_management,
IVZ,Invesco Ltd.,asset_management,
JHG,Janus Henderson Group plc,asset_management,
KKR,KKR & Co. Inc.,asset_management,
MAAS,Maase Inc.,asset_management,
MAIN,Main Street Capital Corporation,asset_management,
MFIC,MidCap Financial Investment Corporation,asset_management,
MGRE,"Affiliated Managers Group, Inc.",asset_management,
NCDL,Nuveen Churchill Direct Lending Corp.,asset_management,
NMFC,New Mountain Finance Corporation,asset_management,
NOAH,Noah Holdings Limited,asset_management,
OAK-PA,"Oaktree Capital Group, LLC 6.625% PFD UT A",asset_management,
OAK-PB,"Oaktree Capital Group, LLC",asset_management,
OTF,Blue Owl Technology Finance Corp.,asset_management,
OWL,Blue Owl Capital Inc.,asset_management,
OXLC,Oxford Lane Capital Corp.,asset_management,
OXLCI,Oxford Lane Capital Corp.,asset_management,
PAX,Patria Investments Limited,asset_management,
PFLT,PennantPark Floating Rate Capital Ltd.,asset_management,
PSEC,Prospect Capital Corporation,asset_management,
PX,"P10, Inc.",asset_management,
SEIC,SEI Investments Company,asset_management,
SII,Sprott Inc.,asset_management,
SLRC,SLR Investment Corp.,asset_management,
STEP,StepStone Group Inc.,asset_management,
STT,State Street Corporation,asset_management,
TPG,TPG Inc.,asset_management,
TRIN,Trinity Capital Inc.,asset_management,
TROW,"T. Rowe Price Group, Inc.",asset_management,
TSLX,"Sixth Street Specialty Lending, Inc.",asset_management,
TY,Tri-Continental Corporation,asset_management,
TYG,Tortoise Energy Infrastructure Corporation,asset_management,
VCTR,"Victory Capital Holdings, Inc.",asset_management,
VINP,Vinci Compass Investments Ltd.,asset_management,
VMET,Versamet Royalties Corporation Common Stock,asset_management,
VRTS,"Virtus Investment Partners, Inc.",asset_management,
WT,"WisdomTree, Inc.",asset_management,
