ticker,company_name,segment,sub_segment
AGD,Abrdn Global Dynamic Dividend Fund,asset_management_global,
ALTI,"AlTi Global, Inc.",asset_management_global,
APO,"Apollo Global Management, Inc.",asset_management_global,
AWP,abrdn Global Premier Properties Fund,asset_management_global,
BGH,Barings Global Short Duration High Yield Fund,asset_management_global,
BOE,BlackRock Enhanced Global Dividend Trust,asset_management_global,
CGO,Calamos Global Total Return Fund,asset_management_global,
EOD,Wells Fargo Advantage Funds - Allspring Global Dividend Opportunity Fund,asset_management_global,
ETO,Eaton Vance Tax-Advantaged Global Dividend Opportunities Fund,asset_management_global,
ETW,Eaton Vance Tax-Managed Global Buy-Write Opportunities Fund,asset_management_global,
GDO,Western Asset Global Corporate Defined Opportunity Fund Inc.,asset_management_global,
GGZ,The Gabelli Global Small and Mid Cap Value Trust,asset_management_global,
GHY,"PGIM Global High Yield Fund, Inc",asset_management_global,
GLO,Clough Global Opportunities Fund,asset_management_global,
GLQ,Clough Global Equity Fund,asset_management_global,
GROW,"U.S. Global Investors, Inc.",asset_management_global,
HGLB,Highland Global Allocation Fund,asset_management_global,
IGA,Voya Global Advantage and Premium Opportunity Fund,asset_management_global,
IGD,Voya Global Equity Dividend and Premium Opportunity Fund,asset_management_global,
MEGI,NYLI CBRE Global Infrastructure Megatrends Term Fund,asset_management_global,
RGT,"Royce Global Value Trust, Inc.",asset_management_global,
