ticker,company_name,segment,sub_segment
ACP,Abrdn Income Credit Strategies Fund,asset_management_income,
ACV,Virtus Diversified Income & Convertible Fund,asset_management_income,
AEF,Abrdn Emerging Markets Equity Income Fund Inc,asset_management_income,
AFB,"AllianceBernstein National Municipal Income Fund, Inc.",asset_management_income,
ASGI,Abrdn Global Infrastructure Income Fund,asset_management_income,
AVK,Advent Convertible and Income Fund,asset_management_income,
AWF,AllianceBernstein Global High Income Fund,asset_management_income,
BGT,BlackRock Floating Rate Income Trust,asset_management_income,
BGX,Blackstone / GSO Long-Short Credit Income Fund,asset_management_income,
BIT,BlackRock Multi-Sector Income Trust,asset_management_income,
BKT,"BlackRock Income Trust, Inc.",asset_management_income,
BRW,Saba Capital Income & Opportunities Fund,asset_management_income,
BTZ,BlackRock Credit Allocation Income Trust,asset_management_income,
BWG,Legg Mason BW Global Income Opportunities Fund Inc.,asset_management_income,
BXMX,Nuveen S&P 500 Buy-Write Income Fund,asset_management_income,
CCD,Calamos Dynamic Convertible and Income Fund,asset_management_income,
CCIF,Carlyle Credit Income Fund,asset_management_income,
CEV,Eaton Vance California Municipal Income Trust,asset_management_income,
CHI,Calamos Convertible Opportunities and Income Fund,asset_management_income,
CHW,Calamos Global Dynamic Income Fund,asset_management_income,
CHY,Calamos Convertible and High Income Fund,asset_management_income,
CIF,MFS Intermediate High Income Fund,asset_management_income,
CII,"BlackRock Enhanced Capital and Income Fund, Inc.",asset_management_income,
CIK,"Credit Suisse Asset Management Income Fund, Inc.",asset_management_income,
CXE,MFS High Income Municipal Trust,asset_management_income,
DFP,Flaherty & Crumrine Dynamic Preferred and Income Fund Inc.,asset_management_income,
DNP,DNP Select Income Fund Inc.,asset_management_income,
DSL,DoubleLine Income Solutions Fund,asset_management_income,
DTF,DTF Tax-Free Income 2028 Term Fund Inc.,asset_management_income,
EAD,Wells Fargo Advantage Funds - Allspring Income Opportunities Fund,asset_management_income,
ECF,Ellsworth Growth and Income Fund Ltd.,asset_management_income,
EDF,Virtus Stone Harbor Emerging Markets Income Fund,asset_management_income,
EFT,Eaton Vance Floating-Rate Income Trust,asset_management_income,
EHI,Western Asset Global High Income Fund Inc.,asset_management_income,
EIC,Eagle Point Income Company Inc.,asset_management_income,
EICA,Eagle Point Income Company Inc.,asset_management_income,
EOI,Eaton Vance Enhanced Equity Income Fund,asset_management_income,
EOS,Eaton Vance Enhanced Equity Income Fund II,asset_management_income,
ERC,Allspring Multi-Sector Income Fund,asset_management_income,
ERH,Allspring Utilities and High Income Fund,asset_management_income,
ETB,Eaton Vance Tax-Managed Buy-Write Income Fund,asset_management_income,
ETG,Eaton Vance Tax-Advantaged Global Dividend Income Fund,asset_management_income,
ETJ,Eaton Vance Risk-Managed Diversified Equity Income Fund,asset_management_income,
ETX,Eaton Vance Municipal Income 2028 Term Trust,asset_management_income,
ETY,Eaton Vance Tax-Managed Diversified Equity Income Fund,asset_management_income,
EVF,Eaton Vance Senior Income Trust,asset_management_income,
EVG,Eaton Vance Short Duration Diversified Income Fund,asset_management_income,
EVN,Eaton Vance Municipal Income Trust,asset_management_income,
EVT,Eaton Vance Tax-Advantaged Dividend Income Fund,asset_management_income,
EVV,Eaton Vance Limited Duration Income Fund,asset_management_income,
EXG,Eaton Vance Tax-Managed Global Diversified Equity Income Fund,asset_management_income,
FAX,Abrdn Asia-Pacific Income Fund Inc,asset_management_income,
FCO,"abrdn Global Income Fund, Inc.",asset_management_income,
FCT,First Trust Senior Floating Rate Income Fund II,asset_management_income,
FFA,First Trust Enhanced Equity Income Fund,asset_management_income,
FFC,Flaherty & Crumrine Preferred Securities Income Fund Inc.,asset_management_income,
FINS,Angel Oak Financial Strategies Income Term Trust,asset_management_income,
FMN,Federated Hermes Premier Municipal Income Fund,asset_management_income,
FMY,First Trust Mortgage Income Fund,asset_management_income,
FPF,First Trust Intermediate Duration Preferred & Income Fund,asset_management_income,
FRA,"BlackRock Floating Rate Income Strategies Fund, Inc.",asset_management_income,
FTF,Franklin Limited Duration Income Trust,asset_management_income,
GCV,The Gabelli Convertible and Income Securities Fund Inc.,asset_management_income,
GDV,The Gabelli Dividend & Income Trust,asset_management_income,
GGN,"GAMCO Global Gold, Natural Resources & Income Trust",asset_management_income,
GLU,The Gabelli Global Utility & Income Trust,asset_management_income,
GLV,Clough Global Dividend and Income Fund,asset_management_income,
GNT,"GAMCO Natural Resources, Gold & Income Trust",asset_management_income,
HEQ,John Hancock Hedged Equity & Income Fund,asset_management_income,
HFRO,Highland Funds I - Highland Income Fund,asset_management_income,
HIO,Western Asset High Income Opportunity Fund Inc.,asset_management_income,
HIX,Western Asset High Income Fund II Inc.,asset_management_income,
HPF,John Hancock Preferred Income Fund II,asset_management_income,
HPI,John Hancock Preferred Income Fund,asset_management_income,
HPS,John Hancock Preferred Income Fund III,asset_management_income,
HTD,John Hancock Tax-Advantaged Dividend Income Fund,asset_management_income,
IAE,Voya Asia Pacific High Dividend Equity Income Fund,asset_management_income,
IGR,CBRE Global Real Estate Income Fund,asset_management_income,
IIM,Invesco Value Municipal Income Trust,asset_management_income,
IQI,Invesco Quality Municipal Income Trust,asset_management_income,
JFR,Nuveen Floating Rate Income Fund,asset_management_income,
JGH,Nuveen Global High Income Fund,asset_management_income,
JHS,John Hancock Income Securities Trust,asset_management_income,
JLS,Nuveen Mortgage and Income Fund,asset_management_income,
JMM,Nuveen Multi-Market Income Fund,asset_management_income,
JPC,Nuveen Preferred & Income Opportunities Fund,asset_management_income,
JQC,Nuveen Credit Strategies Income Fund,asset_management_income,
JRI,Nuveen Real Asset Income and Growth Fund,asset_management_income,
JRS,Nuveen Real Estate Income Fund,asset_management_income,
KIO,KKR Income Opportunities Fund,asset_management_income,
KTF,DWS Municipal Income Trust,asset_management_income,
LDP,"Cohen & Steers Limited Duration Preferred and Income Fund, Inc.",asset_management_income,
MCR,MFS Charter Income Trust,asset_management_income,
MFM,MFS Municipal Income Trust,asset_management_income,
MGF,MFS Government Markets Income Trust,asset_management_income,
