ticker,company_name,segment,sub_segment
ABG,"Asbury Automotive Group, Inc.",auto_dealerships,
ACVA,ACV Auctions Inc.,auto_dealerships,
AN,"AutoNation, Inc.",auto_dealerships,
CARG,"CarGurus, Inc.",auto_dealerships,
CVNA,Carvana Co.,auto_dealerships,
DRVN,Driven Brands Holdings Inc.,auto_dealerships,
GPI,"Group 1 Automotive, Inc.",auto_dealerships,
KAR,"OPENLANE, Inc.",auto_dealerships,
KMX,"CarMax, Inc.",auto_dealerships,
LAD,"Lithia Motors, Inc.",auto_dealerships,
OPLN,"OPENLANE, Inc.",auto_dealerships,
PAG,"Penske Automotive Group, Inc.",auto_dealerships,
RUSHA,"Rush Enterprises, Inc.",auto_dealerships,
SAH,"Sonic Automotive, Inc.",auto_dealerships,
