ticker,company_name,segment,sub_segment
BLBD,Blue Bird Corporation,auto_manufacturers,
F,Ford Motor Company,auto_manufacturers,
GM,General Motors Company,auto_manufacturers,
HMC,"Honda Motor Co., Ltd.",auto_manufacturers,
LCID,"Lucid Group, Inc.",auto_manufacturers,
LI,Li Auto Inc.,auto_manufacturers,
NIO,NIO Inc.,auto_manufacturers,
PSNY,Polestar Automotive Holding UK PLC,auto_manufacturers,
RACE,Ferrari N.V.,auto_manufacturers,
RIVN,"Rivian Automotive, Inc.",auto_manufacturers,
STLA,Stellantis N.V.,auto_manufacturers,
TM,Toyota Motor Corporation,auto_manufacturers,
TSLA,"Tesla, Inc.",auto_manufacturers,
VFS,VinFast Auto Ltd.,auto_manufacturers,
XPEV,XPeng Inc.,auto_manufacturers,
