ticker,company_name,segment,sub_segment
AEVA,"Aeva Technologies, Inc.",auto_parts,
ALSN,"Allison Transmission Holdings, Inc.",auto_parts,
AXL,"American Axle & Manufacturing Holdings, Inc.",auto_parts,
AZO,"AutoZone, Inc.",auto_parts,
BWA,BorgWarner Inc.,auto_parts,
DAN,Dana Incorporated,auto_parts,
DCH,Dauch Corporation,auto_parts,
DORM,"Dorman Products, Inc.",auto_parts,
FOXF,Fox Factory Holding Corp.,auto_parts,
GNTX,Gentex Corporation,auto_parts,
GT,The Goodyear Tire & Rubber Company,auto_parts,
LEA,Lear Corporation,auto_parts,
LKQ,LKQ Corporation,auto_parts,
MLR,"Miller Industries, Inc.",auto_parts,
MOD,Modine Manufacturing Company,auto_parts,
ORLY,"O'Reilly Automotive, Inc.",auto_parts,
PHIN,PHINIA Inc.,auto_parts,
PLOW,"Douglas Dynamics, Inc.",auto_parts,
QS,QuantumScape Corporation,auto_parts,
SMP,"Standard Motor Products, Inc.",auto_parts,
THRM,Gentherm Incorporated,auto_parts,
VC,Visteon Corporation,auto_parts,
XPEL,"XPEL, Inc.",auto_parts,
