ticker,company_name,segment,sub_segment
BAC,Bank of America Corporation,banks_diversified,
BBVA,"Banco Bilbao Vizcaya Argentaria, S.A.",banks_diversified,
BCS,Barclays PLC,banks_diversified,
BMO,Bank of Montreal,banks_diversified,
BNS,The Bank of Nova Scotia,banks_diversified,
C,Citigroup Inc.,banks_diversified,
CM,Canadian Imperial Bank of Commerce,banks_diversified,
EWBC,"East West Bancorp, Inc.",banks_diversified,
HSBC,HSBC Holdings plc,banks_diversified,
ING,ING Groep N.V.,banks_diversified,
JPM,JPMorgan Chase & Co.,banks_diversified,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",banks_diversified,
NTB,The Bank of N.T. Butterfield & Son Limited,banks_diversified,
NU,Nu Holdings Ltd.,banks_diversified,
NWG,NatWest Group plc,banks_diversified,
RY,Royal Bank of Canada,banks_diversified,
SAN,"Banco Santander, S.A.",banks_diversified,
SMFG,"Sumitomo Mitsui Financial Group, Inc.",banks_diversified,
TD,The Toronto-Dominion Bank,banks_diversified,
UBS,UBS Group AG,banks_diversified,
WFC,Wells Fargo & Company,banks_diversified,
