ticker,company_name,segment,sub_segment
ABCB,Ameris Bancorp,banks_regional,
ALRS,Alerus Financial Corporation,banks_regional,
AMAL,Amalgamated Financial Corp.,banks_regional,
AMNB,American National Bankshares Inc.,banks_regional,
AMTB,Amerant Bancorp Inc.,banks_regional,
AROW,Arrow Financial Corporation,banks_regional,
ASB,Associated Banc-Corp,banks_regional,
ASBA,Associated Banc-Corp,banks_regional,
AUB,Atlantic Union Bankshares Corporation,banks_regional,
AX,"Axos Financial, Inc.",banks_regional,
BANC,"Banc of California, Inc.",banks_regional,
BANF,BancFirst Corporation,banks_regional,
BANR,Banner Corporation,banks_regional,
BCAL,Southern California Bancorp,banks_regional,
BFC,Bank First Corporation,banks_regional,
BFST,"Business First Bancshares, Inc.",banks_regional,
BHB,Bar Harbor Bankshares,banks_regional,
BHLB,"Berkshire Hills Bancorp, Inc.",banks_regional,
BHRB,Burke & Herbert Financial Services Corp.,banks_regional,
BKU,"BankUnited, Inc.",banks_regional,
BOH,Bank of Hawaii Corporation,banks_regional,
BOKF,BOK Financial Corporation,banks_regional,
BPOP,"Popular, Inc.",banks_regional,
BRKL,"Brookline Bancorp, Inc.",banks_regional,
BUSE,First Busey Corporation,banks_regional,
BXS,BancorpSouth Bank,banks_regional,
BY,"Byline Bancorp, Inc.",banks_regional,
CAC,Camden National Corporation,banks_regional,
CADE,Cadence Bank,banks_regional,
CARE,"Carter Bankshares, Inc.",banks_regional,
CASH,"Pathward Financial, Inc.",banks_regional,
CATY,Cathay General Bancorp,banks_regional,
CBSH,"Commerce Bancshares, Inc.",banks_regional,
CBTX,"CBTX, Inc.",banks_regional,
CBU,"Community Bank System, Inc.",banks_regional,
CCB,Coastal Financial Corporation,banks_regional,
CCBG,"Capital City Bank Group, Inc.",banks_regional,
CCNE,CNB Financial Corporation,banks_regional,
CFB,"CrossFirst Bankshares, Inc.",banks_regional,
CFFN,"Capitol Federal Financial, Inc.",banks_regional,
CFG,"Citizens Financial Group, Inc.",banks_regional,
CFR,"Cullen/Frost Bankers, Inc.",banks_regional,
CHCO,City Holding Company,banks_regional,
CHYM,"Chime Financial, Inc. Class A Common Stock",banks_regional,
CLBK,"Columbia Financial, Inc.",banks_regional,
CMA,Comerica Incorporated,banks_regional,
CNOB,"ConnectOne Bancorp, Inc.",banks_regional,
COLB,"Columbia Banking System, Inc.",banks_regional,
CPF,Central Pacific Financial Corp.,banks_regional,
CTBI,"Community Trust Bancorp, Inc.",banks_regional,
CUBB,"Customers Bancorp, Inc 5.375% S",banks_regional,
CUBI,"Customers Bancorp, Inc.",banks_regional,
CVBF,CVB Financial Corp.,banks_regional,
DCOM,"Dime Community Bancshares, Inc.",banks_regional,
EBC,"Eastern Bankshares, Inc.",banks_regional,
EFSC,Enterprise Financial Services Corp,banks_regional,
EGBN,"Eagle Bancorp, Inc.",banks_regional,
EQBK,"Equity Bancshares, Inc.",banks_regional,
ESQ,"Esquire Financial Holdings, Inc.",banks_regional,
FBK,FB Financial Corporation,banks_regional,
FBMS,"The First Bancshares, Inc.",banks_regional,
FBNC,First Bancorp,banks_regional,
FBP,First BanCorp.,banks_regional,
FCBC,"First Community Bankshares, Inc.",banks_regional,
FCBP,First Choice Bancorp,banks_regional,
FCF,First Commonwealth Financial Corporation,banks_regional,
FCNCA,"First Citizens BancShares, Inc.",banks_regional,
