ticker,company_name,segment,sub_segment
LIN,Linde plc,basic_materials,
SCCO,Southern Copper Corporation,basic_materials,
NEM,Newmont Corporation,basic_materials,
RIO,Rio Tinto Plc,basic_materials,
AEM,Agnico Eagle Mines Limited,basic_materials,
FCX,"Freeport-McMoRan, Inc.",basic_materials,
B,Barrick Mining Corporation Common Shares,basic_materials,
VALE,VALE S.A.,basic_materials,
APD,"Air Products and Chemicals, Inc.",basic_materials,
SOMN,Southern Company (The) 2025 Series A Corporate Units,basic_materials,
WPM,Wheaton Precious Metals Corp Common Shares (Canada),basic_materials,
CCJ,Cameco Corporation,basic_materials,
AU,AngloGold Ashanti PLC,basic_materials,
FNV,Franco-Nevada Corporation,basic_materials,
GFI,Gold Fields Limited,basic_materials,
KGC,Kinross Gold Corporation,basic_materials,
PAAS,Pan American Silver Corp.,basic_materials,
IP,International Paper Company,basic_materials,
SOJE,"Southern Company (The) Series 2020C 4.20% Junior Subordinated Notes due October 15, 2060",basic_materials,
AGI,Alamos Gold Inc.,basic_materials,
NVAWW,Nova Minerals Limited Warrant,basic_materials,
SUZ,Suzano S.A.,basic_materials,
CDE,"Coeur Mining, Inc.",basic_materials,
IAG,Iamgold Corporation,basic_materials,
EQX,Equinox Gold Corp. Common Shares,basic_materials,
AG,First Majestic Silver Corp.,basic_materials,
MP,MP Materials Corp.,basic_materials,
HMY,Harmony Gold Mining Company Limited,basic_materials,
BVN,Buenaventura Mining Company Inc.,basic_materials,
SBSW,D/B/A Sibanye-Stillwater Limited ADS,basic_materials,
HBM,Hudbay Minerals Inc.,basic_materials,
NXE,Nexgen Energy Ltd. Common Shares,basic_materials,
EGO,Eldorado Gold Corporation,basic_materials,
UEC,Uranium Energy Corp.,basic_materials,
OR,OR Royalties Inc. Common Shares,basic_materials,
BTG,B2Gold Corp Common shares (Canada),basic_materials,
UFPI,"UFP Industries, Inc.",basic_materials,
LPX,Louisiana-Pacific Corporation,basic_materials,
ORLA,Orla Mining Ltd. Common Shares,basic_materials,
WFG,West Fraser Timber Co. Ltd,basic_materials,
CLF,Cleveland-Cliffs Inc.,basic_materials,
FBIN,"Fortune Brands Innovations, Inc.",basic_materials,
ALM,Almonty Industries Inc. Common Shares,basic_materials,
TREX,"Trex Company, Inc.",basic_materials,
USAR,"USA Rare Earth, Inc.",basic_materials,
CGAU,Centerra Gold Inc. Common Shares,basic_materials,
NG,Novagold Resources Inc.,basic_materials,
SKE,Skeena Resources Limited Common Shares,basic_materials,
DNN,Denison Mines Corp,basic_materials,
PPTA,Perpetua Resources Corp. Common Shares,basic_materials,
HYMC,Hycroft Mining Holding Corporation,basic_materials,
FSM,Fortuna Mining Corp. Common Shares,basic_materials,
SA,"Seabridge Gold, Inc.",basic_materials,
EXK,Endeavour Silver Corporation,basic_materials,
ERO,Ero Copper Corp. Common Shares,basic_materials,
DRD,DRDGOLD Limited,basic_materials,
SVM,Silvercorp Metals Inc. Common Shares,basic_materials,
TGB,"Taseko Mines, Ltd.",basic_materials,
MTX,Minerals Technologies Inc.,basic_materials,
TMC,TMC the metals company Inc.,basic_materials,
IE,Ivanhoe Electric Inc.,basic_materials,
SLVM,Sylvamo Corporation,basic_materials,
USAS,"Americas Gold and Silver Corporation Common Shares, no par value",basic_materials,
NEXA,Nexa Resources S.A. Common Shares,basic_materials,
LAC,Lithium Americas Corp. Common Shares,basic_materials,
ELE,Elemental Royalty Corporation,basic_materials,
LAR,Lithium Argentina AG Common Shares,basic_materials,
IAUX,i-80 Gold Corp. Common Shares,basic_materials,
SGML,Sigma Lithium Corporation Common Shares,basic_materials,
MUX,McEwen Inc.,basic_materials,
LXU,"LSB Industries, Inc.",basic_materials,
VZLA,Vizsla Silver Corp. Common Shares,basic_materials,
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),basic_materials,
