ticker,company_name,segment,sub_segment
BRFH,"Barfresh Food Group, Inc.",beverages_non-alcoholic,
BUDA,Buda Juice Inc.,beverages_non-alcoholic,
CCEP,Coca-Cola Europacific Partners PLC,beverages_non-alcoholic,
CELH,"Celsius Holdings, Inc.",beverages_non-alcoholic,
COCO,"The Vita Coco Company, Inc.",beverages_non-alcoholic,
COKE,"Coca-Cola Consolidated, Inc.",beverages_non-alcoholic,
FIZZ,National Beverage Corp.,beverages_non-alcoholic,
KDP,Keurig Dr Pepper Inc.,beverages_non-alcoholic,
KO,The Coca-Cola Company,beverages_non-alcoholic,
KOF,"Coca-Cola FEMSA, S.A.B. de C.V.",beverages_non-alcoholic,
MNST,Monster Beverage Corporation,beverages_non-alcoholic,
OTLY,Oatly Group AB,beverages_non-alcoholic,
PEP,"PepsiCo, Inc.",beverages_non-alcoholic,
PRMB,Primo Brands Corporation,beverages_non-alcoholic,
ZVIA,Zevia PBC,beverages_non-alcoholic,
