ticker,company_name,segment,sub_segment
ALB,Albemarle Corporation,chemicals_specialty,
APD,"Air Products and Chemicals, Inc.",chemicals_specialty,
ASH,Ashland Inc.,chemicals_specialty,
AVNT,Avient Corporation,chemicals_specialty,
AXTA,Axalta Coating Systems Ltd.,chemicals_specialty,
BCPC,Balchem Corporation,chemicals_specialty,
CBT,Cabot Corporation,chemicals_specialty,
CC,The Chemours Company,chemicals_specialty,
CCF,Chase Corporation,chemicals_specialty,
DD,"DuPont de Nemours, Inc.",chemicals_specialty,
ECL,Ecolab Inc.,chemicals_specialty,
ECVT,Ecovyst Inc.,chemicals_specialty,
EMN,Eastman Chemical Company,chemicals_specialty,
ESI,Element Solutions Inc,chemicals_specialty,
FUL,H.B. Fuller Company,chemicals_specialty,
GEVO,"Gevo, Inc.",chemicals_specialty,
GPRE,Green Plains Inc.,chemicals_specialty,
HWKN,"Hawkins, Inc.",chemicals_specialty,
IFF,International Flavors & Fragrances Inc.,chemicals_specialty,
IKNX,IKONICS Corporation,chemicals_specialty,
IOSP,Innospec Inc.,chemicals_specialty,
KOP,Koppers Holdings Inc.,chemicals_specialty,
KRO,"Kronos Worldwide, Inc.",chemicals_specialty,
KWR,Quaker Chemical Corporation,chemicals_specialty,
LTHM,Livent Corporation,chemicals_specialty,
LWLG,"Lightwave Logic, Inc.",chemicals_specialty,
LYB,LyondellBasell Industries N.V.,chemicals_specialty,
MTX,Minerals Technologies Inc.,chemicals_specialty,
NEU,NewMarket Corporation,chemicals_specialty,
NGVT,Ingevity Corporation,chemicals_specialty,
ODC,Oil-Dri Corporation of America,chemicals_specialty,
OLN,Olin Corporation,chemicals_specialty,
PPG,"PPG Industries, Inc.",chemicals_specialty,
PQG,PQ Group Holdings Inc.,chemicals_specialty,
PRM,"Perimeter Solutions, S.A.",chemicals_specialty,
REX,REX American Resources Corporation,chemicals_specialty,
RPM,RPM International Inc.,chemicals_specialty,
SCL,Stepan Company,chemicals_specialty,
SHW,The Sherwin-Williams Company,chemicals_specialty,
SOLS,Solstice Advanced Materials Inc.,chemicals_specialty,
SXT,Sensient Technologies Corporation,chemicals_specialty,
WDFC,WD-40 Company,chemicals_specialty,
WLK,Westlake Corporation,chemicals_specialty,
