ticker,company_name,segment,sub_segment
AIOT,"PowerFleet, Inc.",communication_equipment,
AMPG,"AmpliTech Group, Inc.",communication_equipment,
ASNS,"Actelis Networks, Inc.",communication_equipment,
BOSC,B.O.S. Better Online Solutions Ltd.,communication_equipment,
CSCO,"Cisco Systems, Inc.",communication_equipment,
DGII,Digi International Inc.,communication_equipment,
EXTR,"Extreme Networks, Inc.",communication_equipment,
INSG,Inseego Corp.,communication_equipment,
LITE,Lumentum Holdings Inc.,communication_equipment,
LTRX,"Lantronix, Inc.",communication_equipment,
SILC,Silicom Ltd.,communication_equipment,
UTSI,UTStarcom Holdings Corp.,communication_equipment,
