ticker,company_name,segment,sub_segment
ANET,"Arista Networks, Inc.",computer_hardware,
CRCT,"Cricut, Inc.",computer_hardware,
CRSR,"Corsair Gaming, Inc.",computer_hardware,
DELL,Dell Technologies Inc.,computer_hardware,
HPQ,HP Inc.,computer_hardware,
INFQ,"Infleqtion, Inc.",computer_hardware,
IONQ,"IonQ, Inc.",computer_hardware,
LOGI,Logitech International S.A.,computer_hardware,
NTAP,"NetApp, Inc.",computer_hardware,
PSTG,"Everpure, Inc",computer_hardware,
QBTS,D-Wave Quantum Inc.,computer_hardware,
QUBT,"Quantum Computing, Inc.",computer_hardware,
RCAT,"Red Cat Holdings, Inc.",computer_hardware,
RGTI,"Rigetti Computing, Inc.",computer_hardware,
SMCI,"Super Micro Computer, Inc.",computer_hardware,
SSYS,Stratasys Ltd.,computer_hardware,
STX,Seagate Technology Holdings plc,computer_hardware,
WDC,Western Digital Corporation,computer_hardware,
