ticker,company_name,segment,sub_segment
BBU,Brookfield Business Partners L.P.,conglomerates,
CODI,Compass Diversified,conglomerates,
CRESY,"Cresud Sociedad Anónima, Comercial, Inmobiliaria, Financiera y Agropecuaria",conglomerates,
FIP,FTAI Infrastructure Inc.,conglomerates,
GFF,Griffon Corporation,conglomerates,
HON,Honeywell International Inc.,conglomerates,
IEP,Icahn Enterprises L.P.,conglomerates,
IRS,IRSA Inversiones y Representaciones Sociedad Anónima,conglomerates,
MATW,Matthews International Corporation,conglomerates,
MDU,"MDU Resources Group, Inc.",conglomerates,
MMM,3M Company,conglomerates,
SEB,Seaboard Corporation,conglomerates,
TRC,Tejon Ranch Co.,conglomerates,
VMI,"Valmont Industries, Inc.",conglomerates,
