ticker,company_name,segment,sub_segment
AAON,"AAON, Inc.",construction,
APOG,"Apogee Enterprises, Inc.",construction,
AWI,"Armstrong World Industries, Inc.",construction,
AZEK,The AZEK Company Inc.,construction,
BECN,"Beacon Roofing Supply, Inc.",construction,
BLDR,"Builders FirstSource, Inc.",construction,
CARR,Carrier Global Corporation,construction,
CSL,Carlisle Companies Incorporated,construction,
DOOR,Masonite International Corporation,construction,
FBHS,"Fortune Brands Home & Security, Inc.",construction,
FBIN,"Fortune Brands Innovations, Inc.",construction,
GMS,GMS Inc.,construction,
JBI,"Janus International Group, Inc.",construction,
LII,Lennox International Inc.,construction,
MAS,Masco Corporation,construction,
NX,Quanex Building Products Corporation,construction,
OC,Owens Corning,construction,
PGTI,"PGT Innovations, Inc.",construction,
ROCK,"Gibraltar Industries, Inc.",construction,
SSD,"Simpson Manufacturing Co., Inc.",construction,
SWIM,"Latham Group, Inc.",construction,
TREX,"Trex Company, Inc.",construction,
WMS,"Advanced Drainage Systems, Inc.",construction,
