ticker,company_name,segment,sub_segment
AMRZ,Amrize Ltd,construction_materials,
CPAC,Cementos Pacasmayo S.A.A.,construction_materials,
CRH,CRH plc,construction_materials,
CX,"CEMEX, S.A.B. de C.V.",construction_materials,
EXP,Eagle Materials Inc.,construction_materials,
FEAM,5E Advanced Materials Inc.,construction_materials,
JHX,James Hardie Industries plc,construction_materials,
KNF,Knife River Corporation,construction_materials,
LOMA,Loma Negra Compañía Industrial Argentina Sociedad Anónima,construction_materials,
MLM,"Martin Marietta Materials, Inc.",construction_materials,
RETO,"ReTo Eco-Solutions, Inc.",construction_materials,
SMID,Smith-Midland Corporation,construction_materials,
TTAM,Titan America S.A.,construction_materials,
USLM,"United States Lime & Minerals, Inc.",construction_materials,
VMC,Vulcan Materials Company,construction_materials,
