ticker,company_name,segment,sub_segment
AMZN,"Amazon.com, Inc.",consumer_discretionary,
WMT,Walmart Inc.,consumer_discretionary,
COST,Costco Wholesale Corporation,consumer_discretionary,
NFLX,"Netflix, Inc.",consumer_discretionary,
PG,Procter & Gamble Company (The),consumer_discretionary,
HD,"Home Depot, Inc. (The)",consumer_discretionary,
MCD,McDonald's Corporation,consumer_discretionary,
TJX,"TJX Companies, Inc. (The)",consumer_discretionary,
DIS,Walt Disney Company (The),consumer_discretionary,
UL,Unilever PLC,consumer_discretionary,
BKNG,Booking Holdings Inc.,consumer_discretionary,
LOW,"Lowe's Companies, Inc.",consumer_discretionary,
SBUX,Starbucks Corporation,consumer_discretionary,
SPOT,Spotify Technology S.A.,consumer_discretionary,
MAR,Marriott International,consumer_discretionary,
FDX,FedEx Corporation,consumer_discretionary,
ABNB,"Airbnb, Inc.",consumer_discretionary,
SHW,Sherwin-Williams Company (The),consumer_discretionary,
NKE,"Nike, Inc.",consumer_discretionary,
ORLY,"O'Reilly Automotive, Inc.",consumer_discretionary,
ECL,Ecolab Inc.,consumer_discretionary,
RCL,Royal Caribbean Cruises Ltd.,consumer_discretionary,
BAM,Brookfield Asset Management Inc,consumer_discretionary,
ROST,"Ross Stores, Inc.",consumer_discretionary,
HLT,Hilton Worldwide Holdings Inc.,consumer_discretionary,
CL,Colgate-Palmolive Company,consumer_discretionary,
CVNA,Carvana Co.,consumer_discretionary,
WBD,"Warner Bros. Discovery, Inc. Series A",consumer_discretionary,
BKR,Baker Hughes Company,consumer_discretionary,
PCAR,PACCAR Inc.,consumer_discretionary,
AZO,"AutoZone, Inc.",consumer_discretionary,
TGT,Target Corporation,consumer_discretionary,
FAST,Fastenal Company,consumer_discretionary,
EA,Electronic Arts Inc.,consumer_discretionary,
SE,Sea Limited,consumer_discretionary,
URI,"United Rentals, Inc.",consumer_discretionary,
DAL,"Delta Air Lines, Inc.",consumer_discretionary,
YUM,"Yum! Brands, Inc.",consumer_discretionary,
HLN,Haleon plc,consumer_discretionary,
JD,"JD.com, Inc.",consumer_discretionary,
CMG,"Chipotle Mexican Grill, Inc.",consumer_discretionary,
DHI,"D.R. Horton, Inc.",consumer_discretionary,
SYY,Sysco Corporation,consumer_discretionary,
TRI,Thomson Reuters Corporation Common Shares,consumer_discretionary,
TKO,"TKO Group Holdings, Inc.",consumer_discretionary,
CCL,Carnival Corporation,consumer_discretionary,
CUK,Carnival Plc ADS ADS,consumer_discretionary,
ASTS,"AST SpaceMobile, Inc.",consumer_discretionary,
LVS,Las Vegas Sands Corp.,consumer_discretionary,
LYV,"Live Nation Entertainment, Inc.",consumer_discretionary,
TTWO,"Take-Two Interactive Software, Inc.",consumer_discretionary,
SATS,EchoStar  Corporation,consumer_discretionary,
CPNG,"Coupang, Inc.",consumer_discretionary,
KVUE,Kenvue Inc.,consumer_discretionary,
QSR,Restaurant Brands International Inc. Common Shares,consumer_discretionary,
VIK,Viking Holdings Ltd,consumer_discretionary,
KMB,Kimberly-Clark Corporation,consumer_discretionary,
RYAAY,Ryanair Holdings plc,consumer_discretionary,
CPRT,"Copart, Inc. (DE)",consumer_discretionary,
UAL,"United Airlines Holdings, Inc.",consumer_discretionary,
TPR,"Tapestry, Inc.",consumer_discretionary,
EXPE,"Expedia Group, Inc.",consumer_discretionary,
FTI,TechnipFMC plc Ordinary Share,consumer_discretionary,
SUNB,"Sunbelt Rentals Holdings, Inc.",consumer_discretionary,
EL,"Estee Lauder Companies, Inc. (The)",consumer_discretionary,
CASY,"Casey's General Stores, Inc.",consumer_discretionary,
DG,Dollar General Corporation,consumer_discretionary,
ROL,"Rollins, Inc.",consumer_discretionary,
AER,AerCap Holdings N.V.,consumer_discretionary,
TSCO,Tractor Supply Company,consumer_discretionary,
PPG,"PPG Industries, Inc.",consumer_discretionary,
OMC,Omnicom Group Inc.,consumer_discretionary,
ULTA,"Ulta Beauty, Inc.",consumer_discretionary,
DRI,"Darden Restaurants, Inc.",consumer_discretionary,
LEN,Lennar Corporation,consumer_discretionary,
PHM,"PulteGroup, Inc.",consumer_discretionary,
XPO,"XPO, Inc.",consumer_discretionary,
ONON,On Holding AG,consumer_discretionary,
CHD,"Church & Dwight Company, Inc.",consumer_discretionary,
WSM,"Williams-Sonoma, Inc.",consumer_discretionary,
SW,Smurfit WestRock plc,consumer_discretionary,
DLTR,Dollar Tree Inc.,consumer_discretionary,
BURL,"Burlington Stores, Inc.",consumer_discretionary,
USFD,US Foods Holding Corp.,consumer_discretionary,
IHG,Intercontinental Hotels Group,consumer_discretionary,
LUV,Southwest Airlines Company,consumer_discretionary,
SNA,Snap-On Incorporated,consumer_discretionary,
PKG,Packaging Corporation of America,consumer_discretionary,
AS,"Amer Sports, Inc.",consumer_discretionary,
AMCR,Amcor plc,consumer_discretionary,
NVR,"NVR, Inc.",consumer_discretionary,
APG,APi Group Corporation,consumer_discretionary,
YUMC,"Yum China Holdings, Inc.",consumer_discretionary,
LULU,lululemon athletica inc.,consumer_discretionary,
DKS,Dick's Sporting Goods Inc,consumer_discretionary,
BIP,Brookfield Infrastructure Partners LP Limited Partnership Units,consumer_discretionary,
MGA,"Magna International, Inc.",consumer_discretionary,
SGI,Somnigroup International Inc.,consumer_discretionary,
GIB,CGI Inc.,consumer_discretionary,
NWS,News Corporation,consumer_discretionary,
SN,"SharkNinja, Inc.",consumer_discretionary,
APTV,Aptiv PLC,consumer_discretionary,
