ticker,company_name,segment,sub_segment
KO,Coca-Cola Company (The),consumer_staples,
PEP,"PepsiCo, Inc.",consumer_staples,
BUD,Anheuser-Busch Inbev SA Sponsored ADR (Belgium),consumer_staples,
SONY,Sony Group Corporation,consumer_staples,
CVS,CVS Health Corporation,consumer_staples,
MDLZ,"Mondelez International, Inc.",consumer_staples,
MNST,Monster Beverage Corporation,consumer_staples,
CTVA,"Corteva, Inc.",consumer_staples,
ABEV,Ambev S.A.,consumer_staples,
KR,Kroger Company (The),consumer_staples,
HSY,The Hershey Company,consumer_staples,
CCEP,Coca-Cola Europacific Partners plc,consumer_staples,
DEO,Diageo plc,consumer_staples,
FMX,Fomento Economico Mexicano S.A.B. de C.V.,consumer_staples,
KDP,Keurig Dr Pepper Inc.,consumer_staples,
ADM,Archer-Daniels-Midland Company,consumer_staples,
STZ,"Constellation Brands, Inc.",consumer_staples,
KHC,The Kraft Heinz Company,consumer_staples,
BG,Bunge Limited Common Shares,consumer_staples,
TSN,"Tyson Foods, Inc.",consumer_staples,
KOF,Coca Cola Femsa S.A.B. de C.V.,consumer_staples,
GIS,"General Mills, Inc.",consumer_staples,
MKC,"McCormick & Company, Incorporated",consumer_staples,
JBS,JBS N.V.,consumer_staples,
HRL,Hormel Foods Corporation,consumer_staples,
COKE,"Coca-Cola Consolidated, Inc.",consumer_staples,
SJM,The J.M. Smucker Company,consumer_staples,
SFD,"Smithfield Foods, Inc.",consumer_staples,
DAR,Darling Ingredients Inc.,consumer_staples,
CELH,"Celsius Holdings, Inc.",consumer_staples,
MICC,The Magnum Ice Cream Company N.V.,consumer_staples,
ACI,"Albertsons Companies, Inc.",consumer_staples,
PPC,Pilgrim's Pride Corporation,consumer_staples,
TAP,Molson Coors Beverage Company,consumer_staples,
CAG,"ConAgra Brands, Inc.",consumer_staples,
SFM,"Sprouts Farmers Market, Inc.",consumer_staples,
INGR,Ingredion Incorporated,consumer_staples,
PRMB,Primo Brands Corporation,consumer_staples,
CPB,The Campbell's Company,consumer_staples,
LW,"Lamb Weston Holdings, Inc.",consumer_staples,
POST,"Post Holdings, Inc.",consumer_staples,
TBBB,BBB Foods Inc.,consumer_staples,
MZTI,The Marzetti Company,consumer_staples,
CALM,"Cal-Maine Foods, Inc.",consumer_staples,
TR,"Tootsie Roll Industries, Inc.",consumer_staples,
FIZZ,National Beverage Corp.,consumer_staples,
COCO,"The Vita Coco Company, Inc.",consumer_staples,
FRPT,"Freshpet, Inc.",consumer_staples,
SAM,"Boston Beer Company, Inc. (The)",consumer_staples,
GRDN,"Guardian Pharmacy Services, Inc.",consumer_staples,
KN,Knowles Corporation,consumer_staples,
AGRO,Adecoagro S.A. Common Shares,consumer_staples,
FDP,"Fresh Del Monte Produce, Inc.",consumer_staples,
BRBR,"BellRing Brands, Inc.",consumer_staples,
FLO,"Flowers Foods, Inc.",consumer_staples,
IMKTA,"Ingles Markets, Incorporated",consumer_staples,
WMK,"Weis Markets, Inc.",consumer_staples,
SONO,"Sonos, Inc.",consumer_staples,
ARLO,"Arlo Technologies, Inc.",consumer_staples,
JJSF,J & J Snack Foods Corp.,consumer_staples,
DOLE,Dole plc,consumer_staples,
NOMD,Nomad Foods Limited,consumer_staples,
SMPL,The Simply Good Foods Company,consumer_staples,
UTZ,Utz Brands Inc,consumer_staples,
SENEA,Seneca Foods Corp.,consumer_staples,
SENEB,Seneca Foods Corp.,consumer_staples,
AVO,"Mission Produce, Inc.",consumer_staples,
JBSS,"John B. Sanfilippo & Son, Inc.",consumer_staples,
CCU,"Compania Cervecerias Unidas, S.A.",consumer_staples,
OFRM,"Once Upon a Farm, PBC",consumer_staples,
GO,Grocery Outlet Holding Corp.,consumer_staples,
MAMA,"Mama's Creations, Inc.",consumer_staples,
ARKO,ARKO Corp.,consumer_staples,
VITL,"Vital Farms, Inc.",consumer_staples,
VLGEA,"Village Super Market, Inc.",consumer_staples,
DNUT,"Krispy Kreme, Inc.",consumer_staples,
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",consumer_staples,
AGCC,Agencia Comercial Spirits Ltd,consumer_staples,
LND,Brasilagro Brazilian Agric Real Estate Co Sponsored ADR (Brazil),consumer_staples,
