ticker,company_name,segment,sub_segment
ACHR,Archer Aviation Inc.,defense_and_aerospace,
AIR,AAR Corp.,defense_and_aerospace,
AIRI,Air Industries Group,defense_and_aerospace,
AIRO,"AIRO Group Holdings, Inc. Common Stock",defense_and_aerospace,
ASTC,Astrotech Corporation,defense_and_aerospace,
ATRO,Astronics Corporation,defense_and_aerospace,
AVAV,"AeroVironment, Inc.",defense_and_aerospace,
AXON,"Axon Enterprise, Inc.",defense_and_aerospace,
BA,The Boeing Company,defense_and_aerospace,
BETA,"BETA Technologies, Inc.",defense_and_aerospace,
BWXT,"BWX Technologies, Inc.",defense_and_aerospace,
CODA,"Coda Octopus Group, Inc.",defense_and_aerospace,
CVU,"CPI Aerostructures, Inc.",defense_and_aerospace,
DCO,Ducommun Incorporated,defense_and_aerospace,
DPRO,Draganfly Inc.,defense_and_aerospace,
DRS,"Leonardo DRS, Inc.",defense_and_aerospace,
EH,EHang Holdings Limited,defense_and_aerospace,
EMBJ,Embraer S.A.,defense_and_aerospace,
ESLT,Elbit Systems Ltd.,defense_and_aerospace,
EVEX,"Eve Holding, Inc.",defense_and_aerospace,
EVTL,Vertical Aerospace Ltd.,defense_and_aerospace,
FLY,Firefly Aerospace Inc.,defense_and_aerospace,
GD,General Dynamics Corporation,defense_and_aerospace,
HEI,HEICO Corporation,defense_and_aerospace,
HII,"Huntington Ingalls Industries, Inc.",defense_and_aerospace,
HOVR,New Horizon Aircraft Ltd.,defense_and_aerospace,
HOVRW,New Horizon Aircraft Ltd.,defense_and_aerospace,
HWM,Howmet Aerospace Inc,defense_and_aerospace,
HXL,Hexcel Corporation,defense_and_aerospace,
KITT,"Nauticus Robotics, Inc.",defense_and_aerospace,
KITTW,"Nauticus Robotics, Inc.",defense_and_aerospace,
KRMN,Karman Holdings Inc.,defense_and_aerospace,
KTOS,"Kratos Defense & Security Solutions, Inc.",defense_and_aerospace,
LDOS,Leidos Holdings Inc,defense_and_aerospace,
LHX,"L3Harris Technologies, Inc.",defense_and_aerospace,
LMT,Lockheed Martin Corporation,defense_and_aerospace,
LOAR,Loar Holdings Inc.,defense_and_aerospace,
LUNR,"Intuitive Machines, Inc.",defense_and_aerospace,
MNTS,Momentus Inc.,defense_and_aerospace,
MNTSW,Momentus Inc.,defense_and_aerospace,
MRCY,Mercury Systems Inc,defense_and_aerospace,
NOC,Northrop Grumman Corporation,defense_and_aerospace,
NPK,"National Presto Industries, Inc.",defense_and_aerospace,
PKE,Park Aerospace Corp.,defense_and_aerospace,
PLTR,Palantir Technologies Inc,defense_and_aerospace,
POWW,Outdoor Holding Company,defense_and_aerospace,
POWWP,Outdoor Holding Company - 8.75% Series A Cumulative Redeemable Perpetual Preferred Stock,defense_and_aerospace,
PRZO,ParaZero Technologies Ltd.,defense_and_aerospace,
RAL,Ralliant Corp.,defense_and_aerospace,
RDW,Redwire Corporation,defense_and_aerospace,
RGR,"Sturm, Ruger & Company, Inc.",defense_and_aerospace,
RKLB,"Rocket Lab USA, Inc.",defense_and_aerospace,
RTX,RTX Corporation,defense_and_aerospace,
SAIC,Science Applications International Corp,defense_and_aerospace,
SARO,"StandardAero, Inc.",defense_and_aerospace,
SIF,"SIFCO Industries, Inc.",defense_and_aerospace,
SWBI,"Smith & Wesson Brands, Inc.",defense_and_aerospace,
TATT,TAT Technologies Ltd.,defense_and_aerospace,
TDG,TransDigm Group Incorporated,defense_and_aerospace,
TXT,Textron Inc.,defense_and_aerospace,
VOYG,"Voyager Technologies, Inc.",defense_and_aerospace,
