ticker,company_name,segment,sub_segment
BJ,"BJ's Wholesale Club Holdings, Inc.",discount_stores,
COST,Costco Wholesale Corporation,discount_stores,
DG,Dollar General Corporation,discount_stores,
DLTR,"Dollar Tree, Inc.",discount_stores,
FIVE,"Five Below, Inc.",discount_stores,
OLLI,"Ollie's Bargain Outlet Holdings, Inc.",discount_stores,
PSMT,"PriceSmart, Inc.",discount_stores,
TBBB,BBB Foods Inc.,discount_stores,
TGT,Target Corporation,discount_stores,
WMT,Walmart Inc.,discount_stores,
