ticker,company_name,segment,sub_segment
ABBV,AbbVie Inc.,drug_manufacturers_general,
AMGN,Amgen Inc.,drug_manufacturers_general,
AZN,AstraZeneca PLC,drug_manufacturers_general,
BIIB,Biogen Inc.,drug_manufacturers_general,
BMY,Bristol-Myers Squibb Company,drug_manufacturers_general,
CTOR,"Citius Oncology, Inc.",drug_manufacturers_general,
GILD,"Gilead Sciences, Inc.",drug_manufacturers_general,
GRFS,"Grifols, S.A.",drug_manufacturers_general,
GSK,GSK plc,drug_manufacturers_general,
JNJ,Johnson & Johnson,drug_manufacturers_general,
LLY,Eli Lilly and Company,drug_manufacturers_general,
MIRA,"MIRA Pharmaceuticals, Inc.",drug_manufacturers_general,
MRK,"Merck & Co., Inc.",drug_manufacturers_general,
NVO,Novo Nordisk A/S,drug_manufacturers_general,
NVS,Novartis AG,drug_manufacturers_general,
OGN,Organon & Co.,drug_manufacturers_general,
PFE,Pfizer Inc.,drug_manufacturers_general,
SCLX,Scilex Holding Company,drug_manufacturers_general,
SCLXW,Scilex Holding Company,drug_manufacturers_general,
SNY,Sanofi,drug_manufacturers_general,
