ticker,company_name,segment,sub_segment
ALVO,Alvotech,drug_manufacturers_specialty_and_generic,
AMPH,"Amphastar Pharmaceuticals, Inc.",drug_manufacturers_specialty_and_generic,
AMRX,"Amneal Pharmaceuticals, Inc.",drug_manufacturers_specialty_and_generic,
ANIP,"ANI Pharmaceuticals, Inc.",drug_manufacturers_specialty_and_generic,
BHC,Bausch Health Companies Inc.,drug_manufacturers_specialty_and_generic,
COLL,"Collegium Pharmaceutical, Inc.",drug_manufacturers_specialty_and_generic,
CRON,Cronos Group Inc.,drug_manufacturers_specialty_and_generic,
ELAN,Elanco Animal Health Incorporated,drug_manufacturers_specialty_and_generic,
EMBC,Embecta Corp.,drug_manufacturers_specialty_and_generic,
EVO,Evotec SE,drug_manufacturers_specialty_and_generic,
HCM,HUTCHMED (China) Limited,drug_manufacturers_specialty_and_generic,
HLN,Haleon plc,drug_manufacturers_specialty_and_generic,
HROW,"Harrow Health, Inc.",drug_manufacturers_specialty_and_generic,
INDV,Indivior Pharmaceuticals Inc,drug_manufacturers_specialty_and_generic,
IRWD,"Ironwood Pharmaceuticals, Inc.",drug_manufacturers_specialty_and_generic,
LNTH,"Lantheus Holdings, Inc.",drug_manufacturers_specialty_and_generic,
NBIX,"Neurocrine Biosciences, Inc.",drug_manufacturers_specialty_and_generic,
PAHC,Phibro Animal Health Corporation,drug_manufacturers_specialty_and_generic,
PCRX,"Pacira BioSciences, Inc.",drug_manufacturers_specialty_and_generic,
PRGO,Perrigo Company plc,drug_manufacturers_specialty_and_generic,
RDY,Dr. Reddy's Laboratories Limited,drug_manufacturers_specialty_and_generic,
RGC,Regencell Bioscience Holdings Limited,drug_manufacturers_specialty_and_generic,
SUPN,"Supernus Pharmaceuticals, Inc.",drug_manufacturers_specialty_and_generic,
TAK,Takeda Pharmaceutical Company Limited,drug_manufacturers_specialty_and_generic,
TEVA,Teva Pharmaceutical Industries Limited,drug_manufacturers_specialty_and_generic,
TLRY,"Tilray Brands, Inc.",drug_manufacturers_specialty_and_generic,
VTRS,Viatris Inc.,drug_manufacturers_specialty_and_generic,
ZTS,Zoetis Inc.,drug_manufacturers_specialty_and_generic,
