ticker,company_name,segment,sub_segment
AFYA,Afya Limited,education_and_training_services,
APEI,"American Public Education, Inc.",education_and_training_services,
COUR,"Coursera, Inc.",education_and_training_services,
DAO,"Youdao, Inc.",education_and_training_services,
EDU,New Oriental Education & Technology Group Inc.,education_and_training_services,
GHC,Graham Holdings Company,education_and_training_services,
GOTU,Gaotu Techedu Inc.,education_and_training_services,
LAUR,"Laureate Education, Inc.",education_and_training_services,
LINC,Lincoln Educational Services Corporation,education_and_training_services,
LOPE,"Grand Canyon Education, Inc.",education_and_training_services,
LRN,"Stride, Inc.",education_and_training_services,
MH,"McGraw Hill, Inc.",education_and_training_services,
PRDO,Perdoceo Education Corporation,education_and_training_services,
PXED,"Phoenix Education Partners, Inc",education_and_training_services,
STRA,"Strategic Education, Inc.",education_and_training_services,
TAL,TAL Education Group,education_and_training_services,
UDMY,"Udemy, Inc.",education_and_training_services,
UTI,"Universal Technical Institute, Inc.",education_and_training_services,
