ticker,company_name,segment,sub_segment
ADSE,ADS-TEC Energy PLC,electrical_equipment_and_parts,
AEIS,"Advanced Energy Industries, Inc.",electrical_equipment_and_parts,
AMPX,"Amprius Technologies, Inc.",electrical_equipment_and_parts,
ATKR,Atkore Inc.,electrical_equipment_and_parts,
AYI,"Acuity Brands, Inc.",electrical_equipment_and_parts,
BE,Bloom Energy Corporation,electrical_equipment_and_parts,
ENR,"Energizer Holdings, Inc.",electrical_equipment_and_parts,
ENS,EnerSys,electrical_equipment_and_parts,
ENVX,Enovix Corporation,electrical_equipment_and_parts,
EOSE,"Eos Energy Enterprises, Inc.",electrical_equipment_and_parts,
FPS,"Forgent Power Solutions, Inc.",electrical_equipment_and_parts,
HAYW,"Hayward Holdings, Inc.",electrical_equipment_and_parts,
HUBB,Hubbell Incorporated,electrical_equipment_and_parts,
KE,"Kimball Electronics, Inc.",electrical_equipment_and_parts,
NVT,nVent Electric plc,electrical_equipment_and_parts,
PLPC,Preformed Line Products Company,electrical_equipment_and_parts,
PLUG,Plug Power Inc.,electrical_equipment_and_parts,
POWL,"Powell Industries, Inc.",electrical_equipment_and_parts,
SLDP,"Solid Power, Inc.",electrical_equipment_and_parts,
TE,T1 Energy Inc,electrical_equipment_and_parts,
VRT,Vertiv Holdings Co,electrical_equipment_and_parts,
