ticker,company_name,segment,sub_segment
BILI,Bilibili Inc.,electronic_gaming_and_multimedia,
BRAG,Bragg Gaming Group Inc.,electronic_gaming_and_multimedia,
CTW,CTW Cayman Class A Ordinary Shares,electronic_gaming_and_multimedia,
DDI,"DoubleDown Interactive Co., Ltd.",electronic_gaming_and_multimedia,
DKI,DarkIris Inc. Class A Ordinary Shares,electronic_gaming_and_multimedia,
GCL,GCL Global Holdings Ltd Ordinary Shares,electronic_gaming_and_multimedia,
GCLWW,GCL Global Holdings Ltd Warrants,electronic_gaming_and_multimedia,
GDEV,GDEV Inc.,electronic_gaming_and_multimedia,
GDEVW,GDEV Inc.,electronic_gaming_and_multimedia,
GIGM,GigaMedia Limited,electronic_gaming_and_multimedia,
GMHS,Gamehaus Holdings Inc.,electronic_gaming_and_multimedia,
GXAI,Gaxos.ai Inc.,electronic_gaming_and_multimedia,
MGRT,Mega Fortune Company Limited,electronic_gaming_and_multimedia,
MRDN,Meridian Holdings Inc.,electronic_gaming_and_multimedia,
MSGM,Motorsport Games Inc.,electronic_gaming_and_multimedia,
MYPS,"PLAYSTUDIOS, Inc.",electronic_gaming_and_multimedia,
MYPSW,PLAYSTUDIOS Inc,electronic_gaming_and_multimedia,
NTES,"NetEase, Inc.",electronic_gaming_and_multimedia,
PLTK,Playtika Holding Corp.,electronic_gaming_and_multimedia,
RBLX,Roblox Corporation,electronic_gaming_and_multimedia,
SKLZ,Skillz Inc.,electronic_gaming_and_multimedia,
SNAL,"Snail, Inc. Class A Common Stock",electronic_gaming_and_multimedia,
SOHU,Sohu.com Limited,electronic_gaming_and_multimedia,
