ticker,company_name,segment,sub_segment
XOM,Exxon Mobil Corporation,energy,
CVX,Chevron Corporation,energy,
SHEL,Shell PLC,energy,
TTE,TotalEnergies SE,energy,
BHP,BHP Group Limited,energy,
COP,ConocoPhillips,energy,
PBR,Petroleo Brasileiro S.A. Petrobras ADS,energy,
ENB,Enbridge Inc,energy,
BP,BP p.l.c.,energy,
CNQ,Canadian Natural Resources Limited,energy,
EQNR,Equinor ASA,energy,
E,ENI S.p.A.,energy,
SLB,SLB Limited Common Shares,energy,
EOG,"EOG Resources, Inc.",energy,
SU,Suncor Energy  Inc.,energy,
PSX,Phillips 66,energy,
MPC,Marathon Petroleum Corporation,energy,
VLO,Valero Energy Corporation,energy,
IMO,Imperial Oil Limited,energy,
OXY,Occidental Petroleum Corporation,energy,
MPLX,MPLX LP Common Units Representing Limited Partner Interests,energy,
FANG,"Diamondback Energy, Inc.",energy,
CVE,Cenovus Energy Inc,energy,
WDS,Woodside Energy Group Limited,energy,
EQT,EQT Corporation,energy,
BE,Bloom Energy Corporation,energy,
TPL,Texas Pacific Land Corporation,energy,
HAL,Halliburton Company,energy,
DVN,Devon Energy Corporation,energy,
EC,Ecopetrol S.A.,energy,
EXE,Expand Energy Corporation,energy,
CTRA,Coterra Energy Inc.,energy,
PBA,Pembina Pipeline Corp.,energy,
WWD,"Woodward, Inc.",energy,
PR,Permian Resources Corporation,energy,
YPF,YPF Sociedad Anonima,energy,
VNOM,"Viper Energy, Inc.",energy,
PAA,"Plains All American Pipeline, L.P. Common Units representing Limited Partner Interests",energy,
OVV,Ovintiv Inc. (DE),energy,
APA,APA Corporation,energy,
AR,Antero Resources Corporation,energy,
SUN,Sunoco LP Common Units representing limited partner interests,energy,
DINO,HF Sinclair Corporation,energy,
RRC,Range Resources Corporation,energy,
FPS,"Forgent Power Solutions, Inc.",energy,
LFUS,"Littelfuse, Inc.",energy,
SSL,Sasol Ltd.,energy,
NE,Noble Corporation plc A,energy,
CHRD,Chord Energy Corporation,energy,
MTDR,Matador Resources Company,energy,
SM,SM Energy Company,energy,
RIG,Transocean Ltd (Switzerland),energy,
VIST,Vista Energy S.A.B. de C.V.,energy,
SOBO,South Bow Corporation Common Shares,energy,
POWL,"Powell Industries, Inc.",energy,
VAL,Valaris Limited Common Shares,energy,
CRK,"Comstock Resources, Inc.",energy,
CRC,California Resources Corporation,energy,
MGY,Magnolia Oil & Gas Corporation,energy,
PBF,PBF Energy Inc.,energy,
CNX,CNX Resources Corporation,energy,
MUR,Murphy Oil Corporation,energy,
CNR,"Core Natural Resources, Inc.",energy,
LB,LandBridge Company LLC,energy,
HESM,Hess Midstream LP,energy,
HCC,"Warrior Met Coal, Inc.",energy,
PAGP,"Plains GP Holdings, L.P.",energy,
LBRT,Liberty Energy Inc.,energy,
BTU,Peabody Energy Corporation,energy,
CRGY,Crescent Energy Company,energy,
PTEN,"Patterson-UTI Energy, Inc.",energy,
GPOR,Gulfport Energy Corporation Common Shares,energy,
