ticker,company_name,segment,sub_segment
ACM,Aecom,engineering_and_construction,
AGX,"Argan, Inc.",engineering_and_construction,
AMRC,"Ameresco, Inc.",engineering_and_construction,
APG,APi Group Corporation,engineering_and_construction,
BLD,TopBuild Corp.,engineering_and_construction,
DY,"Dycom Industries, Inc.",engineering_and_construction,
ECG,"Everus Construction Group, Inc.",engineering_and_construction,
EME,"EMCOR Group, Inc.",engineering_and_construction,
FIX,"Comfort Systems USA, Inc.",engineering_and_construction,
FLR,Fluor Corporation,engineering_and_construction,
GLDD,Great Lakes Dredge & Dock Corporation,engineering_and_construction,
GVA,Granite Construction Incorporated,engineering_and_construction,
IESC,"IES Holdings, Inc.",engineering_and_construction,
J,Jacobs Solutions Inc.,engineering_and_construction,
KBR,"KBR, Inc.",engineering_and_construction,
LMB,"Limbach Holdings, Inc.",engineering_and_construction,
MTZ,"MasTec, Inc.",engineering_and_construction,
MYRG,MYR Group Inc.,engineering_and_construction,
NVEE,"NV5 Global, Inc.",engineering_and_construction,
PRIM,Primoris Services Corporation,engineering_and_construction,
PWR,"Quanta Services, Inc.",engineering_and_construction,
ROAD,"Construction Partners, Inc.",engineering_and_construction,
STRL,"Sterling Infrastructure, Inc.",engineering_and_construction,
TPC,Tutor Perini Corporation,engineering_and_construction,
TTEK,"Tetra Tech, Inc.",engineering_and_construction,
WLDN,"Willdan Group, Inc.",engineering_and_construction,
