ticker,company_name,segment,sub_segment
AMC,"AMC Entertainment Holdings, Inc.",entertainment,
ANGX,"Angel Studios, Inc.",entertainment,
APE,"AMC Entertainment Holdings, Inc.",entertainment,
BATRA,"Atlanta Braves Holdings, Inc.",entertainment,
BATRK,"Atlanta Braves Holdings, Inc.",entertainment,
BOWL,Bowlero Corp.,entertainment,
CNK,"Cinemark Holdings, Inc.",entertainment,
DIS,The Walt Disney Company,entertainment,
EDR,"Endeavor Group Holdings, Inc.",entertainment,
FOX,Fox Corporation,entertainment,
FOXA,Fox Corporation,entertainment,
FWONA,Formula One Group,entertainment,
FWONK,Formula One Group,entertainment,
LGF-B,Lions Gate Entertainment Corp.,entertainment,
LION,Lionsgate Studios Corp.,entertainment,
LLYVK,Liberty Live Group,entertainment,
LYV,"Live Nation Entertainment, Inc.",entertainment,
MCS,The Marcus Corporation,entertainment,
MSGE,Madison Square Garden Entertainment Corp.,entertainment,
MSGS,Madison Square Garden Sports Corp.,entertainment,
NFLX,"Netflix, Inc.",entertainment,
NWS,News Corporation,entertainment,
NWSA,News Corporation,entertainment,
NXST,"Nexstar Media Group, Inc.",entertainment,
PARA,Paramount Global,entertainment,
PARAA,Paramount Global,entertainment,
PARAP,Paramount Global,entertainment,
PSKY,Paramount Skydance Corporation Class B Common Stock,entertainment,
ROKU,"Roku, Inc.",entertainment,
RSVR,"Reservoir Media, Inc.",entertainment,
SBGI,"Sinclair, Inc.",entertainment,
SIRI,Sirius XM Holdings Inc.,entertainment,
SPHR,Sphere Entertainment Co.,entertainment,
TKO,"TKO Group Holdings, Inc.",entertainment,
VIAC,Paramount Global,entertainment,
VSNTV,"Versant Media Group, Inc. Class A Common Stock When-Issued",entertainment,
WBD,"Warner Bros. Discovery, Inc.",entertainment,
WMG,Warner Music Group Corp.,entertainment,
WWE,"World Wrestling Entertainment, Inc.",entertainment,
