ticker,company_name,segment,sub_segment
JPM,JP Morgan Chase & Co.,finance,
BAC,Bank of America Corporation,finance,
HSBC,"HSBC Holdings, plc.",finance,
MS,Morgan Stanley,finance,
UBS,UBS Group AG Registered,finance,
GS,"Goldman Sachs Group, Inc. (The)",finance,
WFC,Wells Fargo & Company,finance,
RY,Royal Bank Of Canada,finance,
AXP,American Express Company,finance,
MUFG,"Mitsubishi UFJ Financial Group, Inc.",finance,
C,"Citigroup, Inc.",finance,
SCHW,Charles Schwab Corporation (The),finance,
SAN,"Banco Santander, S.A. Sponsored ADR (Spain)",finance,
TD,Toronto Dominion Bank (The),finance,
BLK,"BlackRock, Inc.",finance,
HDB,HDFC Bank Limited,finance,
SMFG,Sumitomo Mitsui Financial Group Inc Unsponsored,finance,
CB,Chubb Limited,finance,
BBVA,Banco Bilbao Vizcaya Argentaria S.A.,finance,
SPGI,S&P Global Inc.,finance,
PGR,Progressive Corporation (The),finance,
COF,Capital One Financial Corporation,finance,
CME,CME Group Inc.,finance,
MFG,"Mizuho Financial Group, Inc. Sponosred ADR (Japan)",finance,
BMO,Bank Of Montreal,finance,
IBN,ICICI Bank Limited,finance,
ITUB,Itau Unibanco Banco Holding SA,finance,
CM,Canadian Imperial Bank of Commerce,finance,
ICE,Intercontinental Exchange Inc.,finance,
BNS,Bank Nova Scotia Halifax Pfd 3,finance,
MRSH,Marsh,finance,
PNC,"PNC Financial Services Group, Inc. (The)",finance,
BK,The Bank of New York Mellon Corporation,finance,
USB,U.S. Bancorp,finance,
BX,Blackstone Inc.,finance,
KKR,KKR & Co. Inc.,finance,
MCO,Moody's Corporation,finance,
LYG,Lloyds Banking Group Plc,finance,
ING,"ING Group, N.V.",finance,
BCS,Barclays PLC,finance,
NU,Nu Holdings Ltd.,finance,
AON,Aon plc,finance,
HOOD,"Robinhood Markets, Inc.",finance,
APO,"Apollo Global Management, Inc. (New)",finance,
TRV,"The Travelers Companies, Inc.",finance,
NWG,NatWest Group plc,finance,
MFC,Manulife Financial Corporation,finance,
DB,Deutsche Bank AG,finance,
TFC,Truist Financial Corporation,finance,
AFL,AFLAC Incorporated,finance,
AJG,Arthur J. Gallagher & Co.,finance,
ALL,Allstate Corporation (The),finance,
HBANL,"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/40th Interest in a Share of 6.875% Series J Non-Cumulative Perpetual Preferred Stock",finance,
COIN,"Coinbase Global, Inc.",finance,
NDAQ,"Nasdaq, Inc.",finance,
MET,"MetLife, Inc.",finance,
HBANM,Huntington Bancshares Incorporated Depositary Shares each representing a 1/1000th interest in a share of Huntington Series I Preferred Stock,finance,
BSBR,Banco Santander Brasil SA,finance,
HBANZ,"Huntington Bancshares Incorporated Depositary Shares, Each Representing a 1/1000th Interest in a Share of 5.50% Series L Non-Cumulative Perpetual Preferred Stock",finance,
FITB,Fifth Third Bancorp,finance,
AMP,"Ameriprise Financial, Inc.",finance,
AIG,"American International Group, Inc. New",finance,
RKT,"Rocket Companies, Inc.",finance,
CBRE,CBRE Group Inc,finance,
BBD,Banco Bradesco Sa,finance,
KB,KB Financial Group Inc,finance,
PUK,Prudential Public Limited Company,finance,
HIG,"The Hartford Insurance Group, Inc.",finance,
IX,ORIX Corporation,finance,
STT,State Street Corporation,finance,
HBANP,Huntington Bancshares Incorporated Depositary Shares 4.500% Series H Non-Cumulative Perpetual Preferred Stock,finance,
ARES,Ares Management Corporation,finance,
BBDO,Banco Bradesco Sa,finance,
SLF,Sun Life Financial Inc.,finance,
ACGL,Arch Capital Group Ltd.,finance,
PRU,"Prudential Financial, Inc.",finance,
BAP,Credicorp Ltd.,finance,
HBAN,Huntington Bancshares Incorporated,finance,
SHG,Shinhan Financial Group Co Ltd,finance,
CBOE,"Cboe Global Markets, Inc.",finance,
IBKR,"Interactive Brokers Group, Inc.",finance,
MTB,M&T Bank Corporation,finance,
RJF,"Raymond James Financial, Inc.",finance,
TW,Tradeweb Markets Inc.,finance,
WTW,Willis Towers Watson Public Limited Company,finance,
NTRS,Northern Trust Corporation,finance,
CRCL,"Circle Internet Group, Inc.",finance,
CFG,"Citizens Financial Group, Inc.",finance,
CINF,Cincinnati Financial Corporation,finance,
WRB,W.R. Berkley Corporation,finance,
LPLA,LPL Financial Holdings Inc.,finance,
MKL,Markel Group Inc.,finance,
FITBM,"Fifth Third Bancorp Depositary Shares Representing a 1/40th Ownership Interest in a Share of 6.875% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series M",finance,
NMR,Nomura Holdings Inc ADR,finance,
SYF,Synchrony Financial,finance,
FITBI,Fifth Third Bancorp Depositary Shares,finance,
RF,Regions Financial Corporation,finance,
FCNCA,"First Citizens BancShares, Inc.",finance,
L,Loews Corporation,finance,
BRO,"Brown & Brown, Inc.",finance,
KEY,KeyCorp,finance,
FITBP,Fifth Third Bancorp Depositary Shares each representing 1/40th share of Fifth Third 6.00% Non-Cumulative Perpetual,finance,
SOFI,"SoFi Technologies, Inc.",finance,
EFX,"Equifax, Inc.",finance,
BCH,Banco De Chile ADS,finance,
FUTU,Futu Holdings Limited,finance,
TROW,"T. Rowe Price Group, Inc.",finance,
PFG,Principal Financial Group Inc,finance,
BEKE,KE Holdings Inc,finance,
FITBO,"Fifth Third Bancorp Depositary Shares each representing a 1/1000th ownership interest in a share of Non-Cumulative Perpetual Preferred Stock, Series K",finance,
CG,The Carlyle Group Inc.,finance,
WF,Woori Financial Group Inc.,finance,
BPYPM,Brookfield Property Partners L.P. 6.25%,finance,
BPYPP,Brookfield Property Partners L.P. 6.50%,finance,
BPYPO,Brookfield Property Partners L.P. 6.375%,finance,
TPG,TPG Inc.,finance,
BSAC,Banco Santander - Chile ADS,finance,
INVH,Invitation Homes Inc.,finance,
AFRM,"Affirm Holdings, Inc.",finance,
KKRS,KKR Group Finance Co. IX LLC 4.625% Subordinated Notes due 2061,finance,
SLMBP,"SLM Corporation Floating Rate Non-Cumulative Preferred Stock, Series B",finance,
EWBC,"East West Bancorp, Inc.",finance,
APOS,"Apollo Global Management, Inc. 7.625% Fixed-Rate Resettable Junior Subordinated Notes due 2053",finance,
AEG,Aegon Ltd. New York Registry Shares,finance,
VLYPN,"Valley National Bancorp 8.250% Fixed-Rate Reset Non-Cumulative Perpetual Preferred Stock, Series C",finance,
JLL,Jones Lang LaSalle Incorporated,finance,
OWL,Blue Owl Capital Inc.,finance,
VLYPO,"Valley National Bancorp 5.50% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series B",finance,
BPYPN,Brookfield Property Partners L.P. 5.750%,finance,
VLYPP,"Valley National Bancorp 6.25% Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series A",finance,
RGA,"Reinsurance Group of America, Incorporated",finance,
EG,"Everest Group, Ltd.",finance,
TRU,TransUnion,finance,
ARCC,Ares Capital Corporation,finance,
PNFP,"Pinnacle Financial Partners, Inc.",finance,
BNT,Brookfield Wealth Solutions Ltd.,finance,
RNR,RenaissanceRe Holdings Ltd.,finance,
BEN,"Franklin Resources, Inc.",finance,
CNA,CNA Financial Corporation,finance,
UNM,Unum Group,finance,
FNF,"Fidelity National Financial, Inc.",finance,
CET,Central Securities Corporation,finance,
ALLY,Ally Financial Inc.,finance,
CRBG,Corebridge Financial Inc.,finance,
EVR,Evercore Inc.,finance,
SF,Stifel Financial Corporation,finance,
WBS,Webster Financial Corporation,finance,
ERIE,Erie Indemnity Company,finance,
FHN,First Horizon Corporation,finance,
IVZ,Invesco Ltd,finance,
GL,Globe Life Inc.,finance,
AIZ,"Assurant, Inc.",finance,
EQH,"Equitable Holdings, Inc.",finance,
AFG,"American Financial Group, Inc.",finance,
XP,XP Inc.,finance,
HLI,"Houlihan Lokey, Inc.",finance,
ONBPO,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series C Preferred Stock",finance,
ONBPP,"Old National Bancorp Depositary Shares, Each Representing a 1/40th Interest in a Share of Series A Preferred Stock",finance,
ORI,Old Republic International Corporation,finance,
BMNR,"BitMine Immersion Technologies, Inc.",finance,
SEIC,SEI Investments Company,finance,
CIB,Grupo Cibest S.A.,finance,
WTFC,Wintrust Financial Corporation,finance,
KLAR,Klarna Group plc,finance,
SSB,SouthState Bank Corporation,finance,
FRHC,Freedom Holding Corp.,finance,
RYAN,"Ryan Specialty Holdings, Inc.",finance,
BPOP,"Popular, Inc.",finance,
UMBF,UMB Financial Corporation,finance,
CFR,"Cullen/Frost Bankers, Inc.",finance,
ONB,Old National Bancorp,finance,
PRH,"Prudential Financial, Inc. 5.950% Junior Subordinated Notes due 2062",finance,
ZION,Zions Bancorporation N.A.,finance,
GLXY,Galaxy Digital Inc.,finance,
JEF,Jefferies Financial Group Inc.,finance,
PRS,"Prudential Financial, Inc. 5.625% Junior Subordinated Notes due 2058",finance,
COLB,"Columbia Banking System, Inc.",finance,
PRI,"Primerica, Inc.",finance,
APLD,Applied Digital Corporation,finance,
JHG,Janus Henderson Group plc,finance,
WAL,Western Alliance Bancorporation,finance,
BOKF,BOK Financial Corporation,finance,
JXN,Jackson Financial Inc.,finance,
KNSL,"Kinsale Capital Group, Inc.",finance,
AMG,"Affiliated Managers Group, Inc.",finance,
AXS,Axis Capital Holdings Limited,finance,
GJS,"Goldman Sachs Group Securities STRATS Trust for Goldman Sachs Group Securities, Series 2006-2",finance,
GGAL,Grupo Financiero Galicia S.A.,finance,
CBSH,"Commerce Bancshares, Inc.",finance,
ACGLO,"Arch Capital Group Ltd. Depositary Shares Each Representing 1/1,000th Interest in a Share of 5.45% Non-Cumulative Preferred Shares, Series F",finance,
LNC,Lincoln National Corporation,finance,
VLY,Valley National Bancorp,finance,
CHYM,"Chime Financial, Inc.",finance,
VIRT,"Virtu Financial, Inc.",finance,
FIGR,"Figure Technology Solutions, Inc.",finance,
PB,"Prosperity Bancshares, Inc.",finance,
TRNO,Terreno Realty Corporation,finance,
CIFR,Cipher Digital Inc.,finance,
FSV,FirstService Corporation Common Shares,finance,
VOYA,"Voya Financial, Inc.",finance,
MORN,"Morningstar, Inc.",finance,
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,finance,
OMF,"OneMain Holdings, Inc.",finance,
HUT,Hut 8 Corp.,finance,
PFH,"Prudential Financial, Inc. 4.125% Junior Subordinated Notes due 2060",finance,
THG,Hanover Insurance Group Inc,finance,
FAF,First American Corporation (New),finance,
SNEX,StoneX Group Inc.,finance,
MKTX,"MarketAxess Holdings, Inc.",finance,
FNB,F.N.B. Corporation,finance,
ACGLN,"Arch Capital Group Ltd. Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",finance,
GBCI,"Glacier Bancorp, Inc.",finance,
RIOT,"Riot Platforms, Inc.",finance,
ACT,"Enact Holdings, Inc.",finance,
UBSI,"United Bankshares, Inc.",finance,
STEP,StepStone Group Inc.,finance,
UWMC,UWM Holdings Corporation,finance,
BLSH,Bullish,finance,
HLNE,Hamilton Lane Incorporated,finance,
OBDC,Blue Owl Capital Corporation,finance,
MTG,MGIC Investment Corporation,finance,
IFS,Intercorp Financial Services Inc. Common Shares,finance,
FLG,"Flagstar Bank, N.A.",finance,
ESNT,Essent Group Ltd. Common Shares,finance,
WTM,"White Mountains Insurance Group, Ltd.",finance,
CORZZ,"Core Scientific, Inc. Tranche 2 Warrants",finance,
CORZ,"Core Scientific, Inc.",finance,
GPGI,"GPGI, Inc.",finance,
ABCB,Ameris Bancorp,finance,
RLI,RLI Corp.,finance,
HOMB,"Home BancShares, Inc.",finance,
CIGI,Colliers International Group Inc. Subordinate Voting Shares,finance,
HWC,Hancock Whitney Corporation,finance,
AVAL,Grupo Aval Acciones y Valores S.A. ADR (Each representing 20 preferred shares),finance,
LMND,"Lemonade, Inc.",finance,
OZK,Bank OZK,finance,
AUB,Atlantic Union Bankshares Corporation,finance,
MAIN,Main Street Capital Corporation,finance,
