ticker,company_name,segment,sub_segment
ABTC,American Bitcoin Corp,financial_capital_markets,
AC,"Associated Capital Group, Inc.",financial_capital_markets,
AMRK,"A-Mark Precious Metals, Inc.",financial_capital_markets,
BGC,"BGC Group, Inc",financial_capital_markets,
BGCP,"BGC Partners, Inc.",financial_capital_markets,
BMNR,"Bitmine Immersion Technologies, Inc.",financial_capital_markets,
CIFR,Cipher Mining Inc.,financial_capital_markets,
COWN,Cowen Inc.,financial_capital_markets,
CRCL,Circle Internet Group,financial_capital_markets,
DFIN,"Donnelley Financial Solutions, Inc.",financial_capital_markets,
EVR,Evercore Inc.,financial_capital_markets,
GLXY,Galaxy Digital,financial_capital_markets,
GOLD,"Gold.com, Inc.",financial_capital_markets,
GS,"The Goldman Sachs Group, Inc.",financial_capital_markets,
HLI,"Houlihan Lokey, Inc.",financial_capital_markets,
HOOD,"Robinhood Markets, Inc.",financial_capital_markets,
HUT,Hut 8 Corp.,financial_capital_markets,
JEF,Jefferies Financial Group Inc.,financial_capital_markets,
LPLA,LPL Financial Holdings Inc.,financial_capital_markets,
MARA,"Marathon Digital Holdings, Inc.",financial_capital_markets,
MC,Moelis & Company,financial_capital_markets,
MIAX,"Miami International Holdings, Inc. ",financial_capital_markets,
MKTX,MarketAxess Holdings Inc.,financial_capital_markets,
MS,Morgan Stanley,financial_capital_markets,
OPY,Oppenheimer Holdings Inc.,financial_capital_markets,
PIPR,Piper Sandler Companies,financial_capital_markets,
PJT,PJT Partners Inc.,financial_capital_markets,
PWP,Perella Weinberg Partners,financial_capital_markets,
RIOT,"Riot Platforms, Inc.",financial_capital_markets,
RJF,"Raymond James Financial, Inc.",financial_capital_markets,
SBET,"Sharplink, Inc.",financial_capital_markets,
SCHW,The Charles Schwab Corporation,financial_capital_markets,
SF,Stifel Financial Corp.,financial_capital_markets,
SNEX,StoneX Group Inc.,financial_capital_markets,
TW,Tradeweb Markets Inc.,financial_capital_markets,
VIRT,"Virtu Financial, Inc.",financial_capital_markets,
WULF,TeraWulf Inc.,financial_capital_markets,
