ticker,company_name,segment,sub_segment
ADS,"Bread Financial Holdings, Inc.",financial_credit_services,
AGM,Federal Agricultural Mortgage Corporation,financial_credit_services,
ALLY,Ally Financial Inc.,financial_credit_services,
ATLC,Atlanticus Holdings Corporation,financial_credit_services,
AXP,American Express Company,financial_credit_services,
BBDC,"Barings BDC, Inc.",financial_credit_services,
BFH,"Bread Financial Holdings, Inc.",financial_credit_services,
BNH,Brookfield Finance Inc. 4.625%,financial_credit_services,
CACC,Credit Acceptance Corporation,financial_credit_services,
CGABL,The Carlyle Group Inc. 4.625% Subordinated Notes due 2061,financial_credit_services,
COF,Capital One Financial Corporation,financial_credit_services,
DFS,Discover Financial Services,financial_credit_services,
ENVA,"Enova International, Inc.",financial_credit_services,
EZPW,"EZCORP, Inc.",financial_credit_services,
FCFS,"FirstCash Holdings, Inc",financial_credit_services,
GDOT,Green Dot Corporation,financial_credit_services,
JCAP,"Jefferson Capital, Inc. Common Stock",financial_credit_services,
JSM,Navient Corporation SR NT 6% 121543,financial_credit_services,
KKRS,KKR Group Finance Co. IX LLC 4.,financial_credit_services,
LC,LendingClub Corporation,financial_credit_services,
MA,Mastercard Incorporated,financial_credit_services,
MCVT,"Mill City Ventures III, Ltd.",financial_credit_services,
MGI,"MoneyGram International, Inc.",financial_credit_services,
NAVI,Navient Corporation,financial_credit_services,
NEWTH,"NewtekOne, Inc.",financial_credit_services,
NEWTO,"NewtekOne, Inc. 8.5 % Notes -01.02.31",financial_credit_services,
NNI,"Nelnet, Inc.",financial_credit_services,
NRDS,"NerdWallet, Inc.",financial_credit_services,
OBDC,Blue Owl Capital Corporation,financial_credit_services,
OCSL,Oaktree Specialty Lending Corporation,financial_credit_services,
OMF,"OneMain Holdings, Inc.",financial_credit_services,
ORCC,Owl Rock Capital Corporation,financial_credit_services,
PRAA,"PRA Group, Inc.",financial_credit_services,
PYPL,"PayPal Holdings, Inc.",financial_credit_services,
RWAYI,Runway Growth Finance Corp. 7.25% Notes due 2031,financial_credit_services,
SEZL,Sezzle Inc.,financial_credit_services,
SLM,SLM Corporation,financial_credit_services,
SOFI,"SoFi Technologies, Inc.",financial_credit_services,
SUNB,Sunbelt Rentals Holdings Inc,financial_credit_services,
SYF,Synchrony Financial,financial_credit_services,
UPST,"Upstart Holdings, Inc.",financial_credit_services,
V,Visa Inc.,financial_credit_services,
WRLD,World Acceptance Corporation,financial_credit_services,
WU,The Western Union Company,financial_credit_services,
