ticker,company_name,segment,sub_segment
ALH,Alliance Laundry Holdings Inc.,furnishings_fixtures_and_appliances,
AMWD,American Woodmark Corporation,furnishings_fixtures_and_appliances,
ETD,Ethan Allen Interiors Inc.,furnishings_fixtures_and_appliances,
LEG,"Leggett & Platt, Incorporated",furnishings_fixtures_and_appliances,
LZB,La-Z-Boy Incorporated,furnishings_fixtures_and_appliances,
MBC,"MasterBrand, Inc.",furnishings_fixtures_and_appliances,
MHK,"Mohawk Industries, Inc.",furnishings_fixtures_and_appliances,
MLKN,"MillerKnoll, Inc.",furnishings_fixtures_and_appliances,
PATK,"Patrick Industries, Inc.",furnishings_fixtures_and_appliances,
SN,"SharkNinja, Inc.",furnishings_fixtures_and_appliances,
TILE,"Interface, Inc.",furnishings_fixtures_and_appliances,
TPX,"Tempur Sealy International, Inc.",furnishings_fixtures_and_appliances,
WHR,Whirlpool Corporation,furnishings_fixtures_and_appliances,
