ticker,company_name,segment,sub_segment
ACEL,"Accel Entertainment, Inc.",gambling_resorts_and_casinos,
BRSL,Brightstar Lottery,gambling_resorts_and_casinos,
BYD,Boyd Gaming Corporation,gambling_resorts_and_casinos,
CHDN,Churchill Downs Incorporated,gambling_resorts_and_casinos,
CZR,"Caesars Entertainment, Inc.",gambling_resorts_and_casinos,
DKNG,DraftKings Inc.,gambling_resorts_and_casinos,
FLUT,Flutter Entertainment plc,gambling_resorts_and_casinos,
GDEN,"Golden Entertainment, Inc.",gambling_resorts_and_casinos,
HGV,Hilton Grand Vacations Inc.,gambling_resorts_and_casinos,
LVS,Las Vegas Sands Corp.,gambling_resorts_and_casinos,
MCRI,"Monarch Casino & Resort, Inc.",gambling_resorts_and_casinos,
MGM,MGM Resorts International,gambling_resorts_and_casinos,
MLCO,Melco Resorts & Entertainment Limited,gambling_resorts_and_casinos,
MTN,"Vail Resorts, Inc.",gambling_resorts_and_casinos,
PENN,"PENN Entertainment, Inc.",gambling_resorts_and_casinos,
RRR,"Red Rock Resorts, Inc.",gambling_resorts_and_casinos,
RSI,"Rush Street Interactive, Inc.",gambling_resorts_and_casinos,
SGHC,Super Group (SGHC) Limited,gambling_resorts_and_casinos,
VAC,Marriott Vacations Worldwide Corporation,gambling_resorts_and_casinos,
WYNN,"Wynn Resorts, Limited",gambling_resorts_and_casinos,
