ticker,company_name,segment,sub_segment
AAUC,Allied Gold Corporation,gold,
AEM,Agnico Eagle Mines Limited,gold,
AGI,Alamos Gold Inc.,gold,
ARMN,Aris Mining Corporation,gold,
AU,AngloGold Ashanti Plc,gold,
B,Barrick Mining Corporation,gold,
BTG,B2Gold Corp.,gold,
CDE,"Coeur Mining, Inc.",gold,
CGAU,Centerra Gold Inc.,gold,
DC,Dakota Gold Corp.,gold,
DRD,DRDGOLD Limited,gold,
EGO,Eldorado Gold Corporation,gold,
EQX,Equinox Gold Corp.,gold,
FNV,Franco-Nevada Corporation,gold,
GAU,Galiano Gold Inc.,gold,
GFI,Gold Fields Limited,gold,
HL,Hecla Mining Company,gold,
HMY,Harmony Gold Mining Company Limited,gold,
HYMC,Hycroft Mining Holding Corporation,gold,
IAG,IAMGOLD Corporation,gold,
IAUX,i-80 Gold Corp.,gold,
IDR,"Idaho Strategic Resources, Inc.",gold,
KGC,Kinross Gold Corporation,gold,
NEM,Newmont Corporation,gold,
NG,NovaGold Resources Inc.,gold,
OR,OR Royalties Inc.,gold,
ORLA,Orla Mining Ltd.,gold,
RGLD,"Royal Gold, Inc.",gold,
SA,Seabridge Gold Inc.,gold,
SBSW,Sibanye Stillwater Limited,gold,
SSRM,SSR Mining Inc.,gold,
WPM,Wheaton Precious Metals Corp.,gold,
