ticker,company_name,segment,sub_segment
ACI,"Albertsons Companies, Inc.",grocery_stores,
DNUT,"Krispy Kreme, Inc.",grocery_stores,
GO,Grocery Outlet Holding Corp.,grocery_stores,
IMKTA,"Ingles Markets, Incorporated",grocery_stores,
KR,The Kroger Co.,grocery_stores,
MSS,Maison Solutions Inc. Class A Common Stock,grocery_stores,
NGVC,"Natural Grocers by Vitamin Cottage, Inc.",grocery_stores,
SFM,"Sprouts Farmers Market, Inc.",grocery_stores,
VLGEA,"Village Super Market, Inc.",grocery_stores,
WMK,"Weis Markets, Inc.",grocery_stores,
