ticker,company_name,segment,sub_segment
ALNT,Allient Inc.,hardware_equipment_and_parts,
AMOT,Allied Motion Technologies Inc.,hardware_equipment_and_parts,
APH,Amphenol Corporation,hardware_equipment_and_parts,
BELFB,Bel Fuse Inc.,hardware_equipment_and_parts,
BHE,"Benchmark Electronics, Inc.",hardware_equipment_and_parts,
BKSY,BlackSky Technology Inc.,hardware_equipment_and_parts,
BMI,"Badger Meter, Inc.",hardware_equipment_and_parts,
CGNX,Cognex Corporation,hardware_equipment_and_parts,
COHR,"Coherent, Inc.",hardware_equipment_and_parts,
CTS,CTS Corporation,hardware_equipment_and_parts,
DAKT,"Daktronics, Inc.",hardware_equipment_and_parts,
ESE,ESCO Technologies Inc.,hardware_equipment_and_parts,
FARO,"FARO Technologies, Inc.",hardware_equipment_and_parts,
FTV,Fortive Corporation,hardware_equipment_and_parts,
GLW,Corning Incorporated,hardware_equipment_and_parts,
IIVI,II-VI Incorporated,hardware_equipment_and_parts,
ITRI,"Itron, Inc.",hardware_equipment_and_parts,
JBL,Jabil Inc.,hardware_equipment_and_parts,
KEYS,"Keysight Technologies, Inc.",hardware_equipment_and_parts,
LFUS,"Littelfuse, Inc.",hardware_equipment_and_parts,
LYTS,LSI Industries Inc.,hardware_equipment_and_parts,
MKSI,MKS Inc.,hardware_equipment_and_parts,
NOVT,Novanta Inc.,hardware_equipment_and_parts,
NOVTU,Novanta Inc. Tangible Equity Units,hardware_equipment_and_parts,
OSIS,"OSI Systems, Inc.",hardware_equipment_and_parts,
OUST,"Ouster, Inc.",hardware_equipment_and_parts,
PENG,"Penguin Solutions, Inc.",hardware_equipment_and_parts,
PLXS,Plexus Corp.,hardware_equipment_and_parts,
ROG,Rogers Corporation,hardware_equipment_and_parts,
SANM,Sanmina Corporation,hardware_equipment_and_parts,
SATL,Satellogic Inc.,hardware_equipment_and_parts,
SNDK,Sandisk Corporation,hardware_equipment_and_parts,
ST,Sensata Technologies Holding plc,hardware_equipment_and_parts,
TDY,Teledyne Technologies Incorporated,hardware_equipment_and_parts,
TRMB,Trimble Inc.,hardware_equipment_and_parts,
TTMI,"TTM Technologies, Inc.",hardware_equipment_and_parts,
VICR,Vicor Corporation,hardware_equipment_and_parts,
VNT,Vontier Corporation,hardware_equipment_and_parts,
VPG,"Vishay Precision Group, Inc.",hardware_equipment_and_parts,
WDCVV,Western Digital Corporation Common Stock Ex-distribution When-Issued,hardware_equipment_and_parts,
