ticker,company_name,segment,sub_segment
CHD,"Church & Dwight Co., Inc.",household_and_personal_products,
CL,Colgate-Palmolive Company,household_and_personal_products,
CLX,The Clorox Company,household_and_personal_products,
COTY,Coty Inc.,household_and_personal_products,
EL,The Estée Lauder Companies Inc.,household_and_personal_products,
ELF,"e.l.f. Beauty, Inc.",household_and_personal_products,
EPC,Edgewell Personal Care Company,household_and_personal_products,
IPAR,"Inter Parfums, Inc.",household_and_personal_products,
KMB,Kimberly-Clark Corporation,household_and_personal_products,
KVUE,Kenvue Inc.,household_and_personal_products,
NWL,Newell Brands Inc.,household_and_personal_products,
PG,The Procter & Gamble Company,household_and_personal_products,
SGI,Somnigroup International Inc,household_and_personal_products,
SPB,"Spectrum Brands Holdings, Inc.",household_and_personal_products,
UL,Unilever PLC,household_and_personal_products,
