ticker,company_name,segment,sub_segment
AIT,"Applied Industrial Technologies, Inc.",industrial_distribution,
CNM,"Core & Main, Inc.",industrial_distribution,
DSGR,"Distribution Solutions Group, Inc.",industrial_distribution,
DXPE,"DXP Enterprises, Inc.",industrial_distribution,
FAST,Fastenal Company,industrial_distribution,
GIC,Global Industrial Company,industrial_distribution,
GWW,"W.W. Grainger, Inc.",industrial_distribution,
LAWS,"Lawson Products, Inc.",industrial_distribution,
MSM,"MSC Industrial Direct Co., Inc.",industrial_distribution,
POOL,Pool Corporation,industrial_distribution,
QXO,"QXO, Inc.",industrial_distribution,
SITE,"SiteOne Landscape Supply, Inc.",industrial_distribution,
SYX,Systemax Inc.,industrial_distribution,
TRNS,"Transcat, Inc.",industrial_distribution,
WCC,"WESCO International, Inc.",industrial_distribution,
WSO,"Watsco, Inc.",industrial_distribution,
