ticker,company_name,segment,sub_segment
AME,"AMETEK, Inc.",industrial_machinery,
AMSC,American Superconductor Corporation,industrial_machinery,
AOS,A. O. Smith Corporation,industrial_machinery,
ATS,ATS Corporation,industrial_machinery,
BLDP,Ballard Power Systems Inc.,industrial_machinery,
BW,"Babcock & Wilcox Enterprises, Inc.",industrial_machinery,
CMI,Cummins Inc.,industrial_machinery,
CR,Crane Company,industrial_machinery,
CSW,"CSW Industrials, Inc.",industrial_machinery,
CXT,"Crane NXT, Co.",industrial_machinery,
CYD,China Yuchai International Limited,industrial_machinery,
DCI,"Donaldson Company, Inc.",industrial_machinery,
DOV,Dover Corporation,industrial_machinery,
EMR,Emerson Electric Co.,industrial_machinery,
ENOV,Enovis Corporation,industrial_machinery,
EPAC,Enerpac Tool Group Corp.,industrial_machinery,
ETN,Eaton Corporation plc,industrial_machinery,
FELE,"Franklin Electric Co., Inc.",industrial_machinery,
FLS,Flowserve Corporation,industrial_machinery,
GGG,Graco Inc.,industrial_machinery,
GHM,Graham Corporation,industrial_machinery,
GNRC,Generac Holdings Inc.,industrial_machinery,
GRC,The Gorman-Rupp Company,industrial_machinery,
GTES,Gates Industrial Corporation plc,industrial_machinery,
GTLS,"Chart Industries, Inc.",industrial_machinery,
HLIO,"Helios Technologies, Inc.",industrial_machinery,
HWM,Howmet Aerospace Inc.,industrial_machinery,
IEX,IDEX Corporation,industrial_machinery,
IR,Ingersoll Rand Inc.,industrial_machinery,
ITT,ITT Inc.,industrial_machinery,
ITW,Illinois Tool Works Inc.,industrial_machinery,
JBTM,JBT Marel Corporation,industrial_machinery,
KAI,Kadant Inc.,industrial_machinery,
KRNT,Kornit Digital Ltd.,industrial_machinery,
MIDD,The Middleby Corporation,industrial_machinery,
MIR,"Mirion Technologies, Inc.",industrial_machinery,
MWA,"Mueller Water Products, Inc.",industrial_machinery,
NDSN,Nordson Corporation,industrial_machinery,
NNE,Nano Nuclear Energy Inc,industrial_machinery,
NPO,"EnPro Industries, Inc.",industrial_machinery,
OTIS,Otis Worldwide Corporation,industrial_machinery,
PH,Parker-Hannifin Corporation,industrial_machinery,
PNR,Pentair plc,industrial_machinery,
PSIX,"Power Solutions International, Inc.",industrial_machinery,
PSN,Parsons Corporation,industrial_machinery,
ROK,"Rockwell Automation, Inc.",industrial_machinery,
ROP,"Roper Technologies, Inc.",industrial_machinery,
RRX,Regal Rexnord Corporation,industrial_machinery,
SPXC,"SPX Technologies, Inc.",industrial_machinery,
SXI,Standex International Corporation,industrial_machinery,
SYM,Symbotic Inc.,industrial_machinery,
THR,"Thermon Group Holdings, Inc.",industrial_machinery,
TNC,Tennant Company,industrial_machinery,
WTS,"Watts Water Technologies, Inc.",industrial_machinery,
XMTR,"Xometry, Inc.",industrial_machinery,
XYL,Xylem Inc.,industrial_machinery,
