ticker,company_name,segment,sub_segment
CMP,"Compass Minerals International, Inc.",industrial_materials,
CRML,Critical Metals Corp.,industrial_materials,
EMAT,Evolution Metals & Technologies Corp. Common Stock,industrial_materials,
IPX,IperionX Limited,industrial_materials,
METCZ,"Ramaco Resources, Inc.",industrial_materials,
MP,MP Materials Corp.,industrial_materials,
MTRN,Materion Corporation,industrial_materials,
NB,NioCorp Developments Ltd.,industrial_materials,
STR,Sitio Royalties Corp.,industrial_materials,
UAMY,United States Antimony Corporation,industrial_materials,
USAR,USA Rare Earth Inc,industrial_materials,
