ticker,company_name,segment,sub_segment
ARQ,"Arq, Inc.",industrial_pollution_and_treatment_controls,
BCHT,Birchtech Corp.,industrial_pollution_and_treatment_controls,
CECO,CECO Environmental Corp.,industrial_pollution_and_treatment_controls,
CLIR,ClearSign Technologies Corporation,industrial_pollution_and_treatment_controls,
FSS,Federal Signal Corporation,industrial_pollution_and_treatment_controls,
FTEK,"Fuel Tech, Inc.",industrial_pollution_and_treatment_controls,
PCT,"PureCycle Technologies, Inc.",industrial_pollution_and_treatment_controls,
PCTTU,"PureCycle Technologies, Inc.",industrial_pollution_and_treatment_controls,
PCTTW,"PureCycle Technologies, Inc.",industrial_pollution_and_treatment_controls,
TOMZ,"TOMI Environmental Solutions, Inc.",industrial_pollution_and_treatment_controls,
VLTO,Veralto Corporation,industrial_pollution_and_treatment_controls,
ZONE,"CleanCore Solutions, Inc.",industrial_pollution_and_treatment_controls,
ZWS,Zurn Elkay Water Solutions Corporation,industrial_pollution_and_treatment_controls,
