ticker,company_name,segment,sub_segment
TSLA,"Tesla, Inc.",industrials,
CAT,"Caterpillar, Inc.",industrials,
TM,Toyota Motor Corporation,industrials,
RTX,RTX Corporation,industrials,
TMO,Thermo Fisher Scientific Inc,industrials,
BA,Boeing Company (The),industrials,
DE,Deere & Company,industrials,
LMT,Lockheed Martin Corporation,industrials,
HON,Honeywell International Inc.,industrials,
UNP,Union Pacific Corporation,industrials,
DHR,Danaher Corporation,industrials,
GLW,Corning Incorporated,industrials,
PH,Parker-Hannifin Corporation,industrials,
NOC,Northrop Grumman Corporation,industrials,
HWM,Howmet Aerospace Inc.,industrials,
TT,Trane Technologies plc,industrials,
GD,General Dynamics Corporation,industrials,
PWR,"Quanta Services, Inc.",industrials,
JCI,Johnson Controls International plc Ordinary Share,industrials,
UPS,"United Parcel Service, Inc.",industrials,
ADP,"Automatic Data Processing, Inc.",industrials,
ITW,Illinois Tool Works Inc.,industrials,
CMI,Cummins Inc.,industrials,
RACE,Ferrari N.V. Common Shares,industrials,
CSX,CSX Corporation,industrials,
CP,Canadian Pacific Kansas City Limited Common Shares,industrials,
CRH,CRH PLC,industrials,
CTAS,Cintas Corporation,industrials,
GM,General Motors Company,industrials,
LHX,"L3Harris Technologies, Inc.",industrials,
TDG,Transdigm Group Incorporated,industrials,
NSC,Norfolk Southern Corporation,industrials,
CNI,Canadian National Railway Company,industrials,
ELVR,Elevra Lithium Limited American Depository Shares,industrials,
FIX,"Comfort Systems USA, Inc.",industrials,
GWW,"W.W. Grainger, Inc.",industrials,
TER,"Teradyne, Inc.",industrials,
KEYS,Keysight Technologies Inc.,industrials,
CARR,Carrier Global Corporation,industrials,
AME,"AMETEK, Inc.",industrials,
GRMN,Garmin Ltd.,industrials,
F,Ford Motor Company,industrials,
FER,Ferrovial SE,industrials,
BRKRP,"Bruker Corporation 6.375% Mandatory Convertible Preferred Stock, Series A",industrials,
ESLT,Elbit Systems Ltd.,industrials,
WAB,Westinghouse Air Brake Technologies Corporation,industrials,
RKLB,Rocket Lab Corporation,industrials,
