ticker,company_name,segment,sub_segment
AI,"C3.ai, Inc.",information_technology_services,
APLD,Applied Digital Corporation,information_technology_services,
ASGN,ASGN Incorporated,information_technology_services,
AUR,"Aurora Innovation, Inc.",information_technology_services,
BBAI,"BigBear.ai Holdings, Inc.",information_technology_services,
BR,"Broadridge Financial Solutions, Inc.",information_technology_services,
CACI,CACI International Inc,information_technology_services,
CDW,CDW Corporation,information_technology_services,
CNXC,Concentrix Corporation,information_technology_services,
CTLP,"Cantaloupe, Inc.",information_technology_services,
CTSH,Cognizant Technology Solutions Corporation,information_technology_services,
DLB,"Dolby Laboratories, Inc.",information_technology_services,
DXC,DXC Technology Company,information_technology_services,
EPAM,"EPAM Systems, Inc.",information_technology_services,
EXLS,"ExlService Holdings, Inc.",information_technology_services,
FI,"Fiserv, Inc.",information_technology_services,
FIS,"Fidelity National Information Services, Inc.",information_technology_services,
FISV,"Fiserv, Inc.",information_technology_services,
FLYW,Flywire Corporation,information_technology_services,
IBM,International Business Machines Corporation,information_technology_services,
INGM,Ingram Micro Holding Corporation,information_technology_services,
INOD,Innodata Inc.,information_technology_services,
IT,"Gartner, Inc.",information_technology_services,
JKHY,"Jack Henry & Associates, Inc.",information_technology_services,
KD,"Kyndryl Holdings, Inc.",information_technology_services,
LDOS,"Leidos Holdings, Inc.",information_technology_services,
NABL,"N-able, Inc.",information_technology_services,
NCR,NCR Corporation,information_technology_services,
NIQ,NIQ Global Intelligence Plc,information_technology_services,
PAY,"Paymentus Holdings, Inc.",information_technology_services,
PHLT,"Performant Healthcare, Inc.",information_technology_services,
PRFT,"Perficient, Inc.",information_technology_services,
SAIC,Science Applications International Corporation,information_technology_services,
TASK,"TaskUs, Inc.",information_technology_services,
TWKS,"Thoughtworks Holding, Inc.",information_technology_services,
VRRM,Verra Mobility Corporation,information_technology_services,
VYX,NCR Voyix Corporation,information_technology_services,
WAY,Waystar Holding Corp.,information_technology_services,
