ticker,company_name,segment,sub_segment
AJG,Arthur J. Gallagher & Co.,insurance_brokers,
AON,Aon plc,insurance_brokers,
ARX,Accelerant Holdings,insurance_brokers,
BRO,"Brown & Brown, Inc.",insurance_brokers,
BWIN,"The Baldwin Insurance Group, Inc.",insurance_brokers,
CRVL,CorVel Corporation,insurance_brokers,
EHTH,"eHealth, Inc.",insurance_brokers,
ERIE,Erie Indemnity Company,insurance_brokers,
EZRA,Reliance Global Group Inc.,insurance_brokers,
GOCO,"GoHealth, Inc.",insurance_brokers,
HUIZ,Huize Holding Limited,insurance_brokers,
MRSH,"Marsh & McLennan Companies, Inc.",insurance_brokers,
SLQT,"SelectQuote, Inc.",insurance_brokers,
TWFG,"TWFG, Inc. Common Stock",insurance_brokers,
WTW,Willis Towers Watson Public Limited Company,insurance_brokers,
ZBAO,Zhibao Technology Inc. Class A Ordinary Shares,insurance_brokers,
