ticker,company_name,segment,sub_segment
ABL,"Abacus Global Management, Inc.",insurance_life,
ABLLL,"Abacus Life, Inc. 9.875% Fixed Rate Senior Notes due 2028",insurance_life,
ABX,"Abacus Global Management, Inc.",insurance_life,
AEL,American Equity Investment Life Holding Company,insurance_life,
AFL,Aflac Incorporated,insurance_life,
BHF,"Brighthouse Financial, Inc.",insurance_life,
CNO,"CNO Financial Group, Inc.",insurance_life,
FG,"F&G Annuities & Life, Inc.",insurance_life,
FGN,"F&G Annuities & Life, Inc.",insurance_life,
GL,Globe Life Inc.,insurance_life,
GNW,"Genworth Financial, Inc.",insurance_life,
JXN,Jackson Financial Inc.,insurance_life,
JXN-PA,Jackson Financial Inc.,insurance_life,
LIFE,Ethos Technologies Inc.,insurance_life,
LNC,Lincoln National Corporation,insurance_life,
MET,"MetLife, Inc.",insurance_life,
MHNC,"Maiden Holdings North America, Ltd.",insurance_life,
MLCIL,Mount Logan Capital Inc. 8.00% Notes Due 2031,insurance_life,
NWLI,"National Western Life Group, Inc.",insurance_life,
PRH,"Prudential Financial, Inc. 5.95",insurance_life,
PRI,"Primerica, Inc.",insurance_life,
PRS,"Prudential Financial, Inc. 5.62",insurance_life,
PRU,"Prudential Financial, Inc.",insurance_life,
UNM,Unum Group,insurance_life,
