ticker,company_name,segment,sub_segment
ACIC,American Coastal Insurance Corporation,insurance_property_and_casualty,
AFG,"American Financial Group, Inc.",insurance_property_and_casualty,
AFGB,"American Financial Group, Inc.",insurance_property_and_casualty,
AFGC,"American Financial Group, Inc.",insurance_property_and_casualty,
AFGD,"American Financial Group, Inc.",insurance_property_and_casualty,
AFGE,"American Financial Group, Inc.",insurance_property_and_casualty,
ALL,The Allstate Corporation,insurance_property_and_casualty,
ASIC,Ategrity Specialty Holdings LLC,insurance_property_and_casualty,
BOW,Bowhead Specialty Holdings Inc.,insurance_property_and_casualty,
CINF,Cincinnati Financial Corporation,insurance_property_and_casualty,
CNA,CNA Financial Corporation,insurance_property_and_casualty,
DGICA,Donegal Group Inc.,insurance_property_and_casualty,
HCI,"HCI Group, Inc.",insurance_property_and_casualty,
HGTY,"Hagerty, Inc.",insurance_property_and_casualty,
HMN,Horace Mann Educators Corporation,insurance_property_and_casualty,
HRTG,"Heritage Insurance Holdings, Inc.",insurance_property_and_casualty,
KMPB,Kemper Corporation 5.875% Fixed,insurance_property_and_casualty,
KMPR,Kemper Corporation,insurance_property_and_casualty,
KNSL,"Kinsale Capital Group, Inc.",insurance_property_and_casualty,
L,Loews Corporation,insurance_property_and_casualty,
LMND,"Lemonade, Inc.",insurance_property_and_casualty,
MCY,Mercury General Corporation,insurance_property_and_casualty,
MHLA,"Maiden Holdings, Ltd. 6.625 NT 2046",insurance_property_and_casualty,
MKL,Markel Corporation,insurance_property_and_casualty,
PGR,The Progressive Corporation,insurance_property_and_casualty,
PLMR,"Palomar Holdings, Inc.",insurance_property_and_casualty,
PRA,ProAssurance Corporation,insurance_property_and_casualty,
RLI,RLI Corp.,insurance_property_and_casualty,
ROOT,"Root, Inc.",insurance_property_and_casualty,
SAFT,"Safety Insurance Group, Inc.",insurance_property_and_casualty,
SIGI,"Selective Insurance Group, Inc.",insurance_property_and_casualty,
SKWD,"Skyward Specialty Insurance Group, Inc.",insurance_property_and_casualty,
SLDE,"Slide Insurance Holdings, Inc. Common Stock",insurance_property_and_casualty,
STC,Stewart Information Services Corporation,insurance_property_and_casualty,
THG,"The Hanover Insurance Group, Inc.",insurance_property_and_casualty,
TRV,"The Travelers Companies, Inc.",insurance_property_and_casualty,
UFCS,"United Fire Group, Inc.",insurance_property_and_casualty,
UVE,"Universal Insurance Holdings, Inc.",insurance_property_and_casualty,
WRB,W. R. Berkley Corporation,insurance_property_and_casualty,
