ticker,company_name,segment,sub_segment
EG,"Everest Re Group, Ltd.",insurance_reinsurance,
GLRE,"Greenlight Capital Re, Ltd.",insurance_reinsurance,
HG,"Hamilton Insurance Group, Ltd.",insurance_reinsurance,
KG,"Kestrel Group, Ltd.",insurance_reinsurance,
OXBR,Oxbridge Re Holdings Limited,insurance_reinsurance,
OXBRW,Oxbridge Re Holdings Limited,insurance_reinsurance,
RGA,"Reinsurance Group of America, Incorporated",insurance_reinsurance,
RNR,RenaissanceRe Holdings Ltd.,insurance_reinsurance,
RZB,"Reinsurance Group of America, Incorporated",insurance_reinsurance,
SPNT,SiriusPoint Ltd.,insurance_reinsurance,
