ticker,company_name,segment,sub_segment
CHRW,"C.H. Robinson Worldwide, Inc.",integrated_freight_and_logistics,
CRGO,Freightos Limited Ordinary shares,integrated_freight_and_logistics,
CRGOW,Freightos Limited,integrated_freight_and_logistics,
ELOG,Eastern International Ltd. Ordinary Shares,integrated_freight_and_logistics,
EXPD,"Expeditors International of Washington, Inc.",integrated_freight_and_logistics,
FLX,BingEx Limited,integrated_freight_and_logistics,
FWRD,Forward Air Corporation,integrated_freight_and_logistics,
GVH,Globavend Holdings Limited,integrated_freight_and_logistics,
HUBG,"Hub Group, Inc.",integrated_freight_and_logistics,
JBHT,"J.B. Hunt Transport Services, Inc.",integrated_freight_and_logistics,
JYD,Jayud Global Logistics Limited,integrated_freight_and_logistics,
LSTR,"Landstar System, Inc.",integrated_freight_and_logistics,
NCEW,New Century Logistics (BVI) Limited,integrated_freight_and_logistics,
PSIG,PS International Group Ltd.,integrated_freight_and_logistics,
RLGT,"Radiant Logistics, Inc.",integrated_freight_and_logistics,
SFWL,Shengfeng Development Limited,integrated_freight_and_logistics,
SGLY,Singularity Future Technology Ltd.,integrated_freight_and_logistics,
UPS,"United Parcel Service, Inc.",integrated_freight_and_logistics,
ZTO,ZTO Express (Cayman) Inc.,integrated_freight_and_logistics,
