ticker,company_name,segment,sub_segment
DAL,Delta Air Lines Inc,legacy_carrier,major
UAL,United Airlines Holdings Inc,legacy_carrier,major
LUV,Southwest Airlines Co,low_cost,major
AAL,American Airlines Group Inc,legacy_carrier,major
JBLU,JetBlue Airways Corporation,low_cost,mid_cap
ALK,Alaska Air Group Inc,legacy_carrier,mid_cap
SKYW,SkyWest Inc,regional,major
ALGT,Allegiant Travel Company,low_cost,leisure
CPA,Copa Holdings SA,international,latin_america
RYAAY,Ryanair Holdings plc,low_cost,european
VLRS,Controladora Vuela Compania de Aviacion,low_cost,mexican
SNCY,Sun Country Airlines Holdings Inc,low_cost,leisure
ULCC,Frontier Group Holdings Inc,low_cost,ultra_low_cost
