ticker,company_name,segment,sub_segment
ABXL,"Abacus Global Management, Inc. - 9.875% Fixed Rate Senior Notes due 2028",investment_banking_and_investment_services,
BNJ,Brookfield Finance Inc. 4.50% P,investment_banking_and_investment_services,
CGBDL,"Carlyle Secured Lending, Inc. 8.20% Notes due 2028",investment_banking_and_investment_services,
FCRX,"Crescent Capital BDC, Inc.",investment_banking_and_investment_services,
GEGGL,"Great Elm Group, Inc. 7.25% Notes due 2027",investment_banking_and_investment_services,
GLADZ,Gladstone Capital Corporation 7.75% Notes due 2028,investment_banking_and_investment_services,
IBKR,"Interactive Brokers Group, Inc.",investment_banking_and_investment_services,
MGR,"Affiliated Managers Group, Inc.",investment_banking_and_investment_services,
RPC,"Ridgepost Capital, Inc.",investment_banking_and_investment_services,
SFB,Stifel Financial Corporation 5.20% Senior Notes due 2047,investment_banking_and_investment_services,
