ticker,company_name,segment,sub_segment
AGH,Aureus Greenway Holdings Inc.,leisure,
AOUT,"American Outdoor Brands, Inc.",leisure,
AS,"Amer Sports, Inc.",leisure,
CALY,Callaway Golf Company,leisure,
CCL,Carnival Corporation & plc,leisure,
CLAR,Clarus Corporation,leisure,
CUK,Carnival Corporation & plc,leisure,
DOGZ,Dogness (International) Corporation,leisure,
ESCA,"Escalade, Incorporated",leisure,
FNKO,"Funko, Inc.",leisure,
FUN,Six Flags Entertainment Corporation,leisure,
GDHG,Golden Heaven Group Holdings Ltd.,leisure,
GOLF,Acushnet Holdings Corp.,leisure,
HAS,"Hasbro, Inc.",leisure,
JAKK,"JAKKS Pacific, Inc.",leisure,
JOUT,Johnson Outdoors Inc.,leisure,
KMRK,K-Tech Solutions Company Limited,leisure,
LTH,"Life Time Group Holdings, Inc.",leisure,
LUCK,Lucky Strike Entertainment Corporation,leisure,
MAT,"Mattel, Inc.",leisure,
MMA,Mixed Martial Arts Group Limited,leisure,
NOMA,Nomadar Corp.,leisure,
NWTG,Newton Golf Company,leisure,
OSW,OneSpaWorld Holdings Limited,leisure,
PLBY,"Playboy, Inc.",leisure,
PLNT,"Planet Fitness, Inc.",leisure,
PTON,"Peloton Interactive, Inc.",leisure,
TRON,Tron Inc.,leisure,
XPOF,"Xponential Fitness, Inc.",leisure,
YETI,"YETI Holdings, Inc.",leisure,
YYAI,AiRWA Inc.,leisure,
