ticker,company_name,segment,sub_segment
BGI,Birks Group Inc.,luxury_goods,
BRLT,"Brilliant Earth Group, Inc.",luxury_goods,
CPRI,Capri Holdings Limited,luxury_goods,
ELA,Envela Corporation,luxury_goods,
FMFC,Kandal M Venture Limited,luxury_goods,
FOSL,"Fossil Group, Inc.",luxury_goods,
LANV,Lanvin Group Holdings Limited,luxury_goods,
LUXE,LuxExperience B.V.,luxury_goods,
MOV,"Movado Group, Inc.",luxury_goods,
REAL,"The RealReal, Inc.",luxury_goods,
SIG,Signet Jewelers Limited,luxury_goods,
TPR,"Tapestry, Inc.",luxury_goods,
