ticker,company_name,segment,sub_segment
ARNC,Arconic Corporation,manufacturing_metal_fabrication,
ATI,ATI Inc.,manufacturing_metal_fabrication,
AZZ,AZZ Inc.,manufacturing_metal_fabrication,
CMPO,"CompoSecure, Inc.",manufacturing_metal_fabrication,
CRS,Carpenter Technology Corporation,manufacturing_metal_fabrication,
ESAB,ESAB Corporation,manufacturing_metal_fabrication,
GPGI,"GPGI, Inc.",manufacturing_metal_fabrication,
HAYN,"Haynes International, Inc.",manufacturing_metal_fabrication,
IIIN,"Insteel Industries, Inc.",manufacturing_metal_fabrication,
MLI,"Mueller Industries, Inc.",manufacturing_metal_fabrication,
NWPX,"NWPX Infrastructure, Inc.",manufacturing_metal_fabrication,
PRLB,"Proto Labs, Inc.",manufacturing_metal_fabrication,
RYI,Ryerson Holding Corporation,manufacturing_metal_fabrication,
WOR,"Worthington Industries, Inc.",manufacturing_metal_fabrication,
