ticker,company_name,segment,sub_segment
HLMN,Hillman Solutions Corp.,manufacturing_tools_and_accessories,
KMT,Kennametal Inc.,manufacturing_tools_and_accessories,
LECO,"Lincoln Electric Holdings, Inc.",manufacturing_tools_and_accessories,
RBC,RBC Bearings Incorporated,manufacturing_tools_and_accessories,
RBCP,RBC Bearings Incorporated,manufacturing_tools_and_accessories,
ROLL,RBC Bearings Incorporated,manufacturing_tools_and_accessories,
SNA,Snap-on Incorporated,manufacturing_tools_and_accessories,
SWK,"Stanley Black & Decker, Inc.",manufacturing_tools_and_accessories,
TKR,The Timken Company,manufacturing_tools_and_accessories,
TTC,The Toro Company,manufacturing_tools_and_accessories,
