ticker,company_name,segment,sub_segment
ASC,Ardmore Shipping Corporation,marine_and_shipping,
BWLP,BW LPG Limited,marine_and_shipping,
CCEC,Capital Clean Energy Carriers Corp.,marine_and_shipping,
CDLR,Cadeler A/S,marine_and_shipping,
CISS,C3is Inc.,marine_and_shipping,
CMBT,Cmb.Tech N.V.,marine_and_shipping,
CMDB,Costamare Bulkers Holdings Ltd,marine_and_shipping,
CMRE,Costamare Inc.,marine_and_shipping,
CTRM,Castor Maritime Inc.,marine_and_shipping,
DAC,Danaos Corporation,marine_and_shipping,
DHT,DHT Holdings Inc,marine_and_shipping,
DSX,Diana Shipping Inc.,marine_and_shipping,
ECO,Okeanis Eco Tankers Corp.,marine_and_shipping,
EDRY,EuroDry Ltd.,marine_and_shipping,
EHLD,Euroholdings Ltd.,marine_and_shipping,
ESEA,Euroseas Ltd.,marine_and_shipping,
EURN,Euronav NV,marine_and_shipping,
FRO,Frontline plc,marine_and_shipping,
GASS,StealthGas Inc.,marine_and_shipping,
GLBS,Globus Maritime Limited,marine_and_shipping,
GNK,Genco Shipping & Trading Limited,marine_and_shipping,
GOGL,Golden Ocean Group Limited,marine_and_shipping,
GSL,"Global Ship Lease, Inc.",marine_and_shipping,
HAFN,Hafnia Limited,marine_and_shipping,
HMR,Heidmar Maritime Holdings Corp.,marine_and_shipping,
HSHP,Himalaya Shipping Ltd.,marine_and_shipping,
HTCO,High-Trend International Group,marine_and_shipping,
ICON,Icon Energy Corp.,marine_and_shipping,
INSW,International Seaways Inc,marine_and_shipping,
KEX,Kirby Corporation,marine_and_shipping,
KNOP,KNOT Offshore Partners LP,marine_and_shipping,
MATX,Matson Inc,marine_and_shipping,
NAT,Nordic American Tankers Limited,marine_and_shipping,
NCT,Intercont (Cayman) Limited Ordinary shares,marine_and_shipping,
NMM,Navios Maritime Partners L.P.,marine_and_shipping,
PANL,"Pangaea Logistics Solutions, Ltd.",marine_and_shipping,
PSHG,Performance Shipping Inc.,marine_and_shipping,
PXS,Pyxis Tankers Inc.,marine_and_shipping,
RUBI,Rubico Inc.,marine_and_shipping,
SB,"Safe Bulkers, Inc.",marine_and_shipping,
SBLK,Star Bulk Carriers Corp,marine_and_shipping,
SFL,SFL Corporation Ltd.,marine_and_shipping,
SHIP,Seanergy Maritime Holdings Corp.,marine_and_shipping,
SMHI,SEACOR Marine Holdings Inc.,marine_and_shipping,
STNG,Scorpio Tankers Inc,marine_and_shipping,
SVRN,OceanPal Inc. Common Stock,marine_and_shipping,
TNK,Teekay Tankers Ltd,marine_and_shipping,
TOPS,Top Ships Inc.,marine_and_shipping,
TORO,Toro Corp.,marine_and_shipping,
TRMD,TORM plc,marine_and_shipping,
USEA,United Maritime Corporation,marine_and_shipping,
ZIM,ZIM Integrated Shipping Services,marine_and_shipping,
