ticker,company_name,segment,sub_segment
ASC,Ardmore Shipping Corporation,marine_shipping,
BWLP,BW LPG Limited,marine_shipping,
CCEC,Capital Clean Energy Carriers Corp.,marine_shipping,
CDLR,Cadeler A/S,marine_shipping,
CISS,C3is Inc.,marine_shipping,
CMBT,Cmb.Tech N.V.,marine_shipping,
CMDB,Costamare Bulkers Holdings Ltd,marine_shipping,
CMRE,Costamare Inc.,marine_shipping,
CTRM,Castor Maritime Inc.,marine_shipping,
DAC,Danaos Corporation,marine_shipping,
DSX,Diana Shipping Inc.,marine_shipping,
ECO,Okeanis Eco Tankers Corp.,marine_shipping,
EDRY,EuroDry Ltd.,marine_shipping,
EHLD,Euroholdings Ltd.,marine_shipping,
ESEA,Euroseas Ltd.,marine_shipping,
GASS,StealthGas Inc.,marine_shipping,
GLBS,Globus Maritime Limited,marine_shipping,
GNK,Genco Shipping & Trading Limited,marine_shipping,
GSL,"Global Ship Lease, Inc.",marine_shipping,
HAFN,Hafnia Limited,marine_shipping,
HMR,Heidmar Maritime Holdings Corp.,marine_shipping,
HSHP,Himalaya Shipping Ltd.,marine_shipping,
HTCO,High-Trend International Group,marine_shipping,
ICON,Icon Energy Corp.,marine_shipping,
KEX,Kirby Corporation,marine_shipping,
KNOP,KNOT Offshore Partners LP,marine_shipping,
MATX,"Matson, Inc.",marine_shipping,
NAT,Nordic American Tankers Limited,marine_shipping,
NCT,Intercont (Cayman) Limited Ordinary shares,marine_shipping,
NMM,Navios Maritime Partners L.P.,marine_shipping,
PANL,"Pangaea Logistics Solutions, Ltd.",marine_shipping,
PSHG,Performance Shipping Inc.,marine_shipping,
PXS,Pyxis Tankers Inc.,marine_shipping,
RUBI,Rubico Inc.,marine_shipping,
SB,"Safe Bulkers, Inc.",marine_shipping,
SBLK,Star Bulk Carriers Corp.,marine_shipping,
SFL,SFL Corporation Ltd.,marine_shipping,
SHIP,Seanergy Maritime Holdings Corp.,marine_shipping,
SMHI,SEACOR Marine Holdings Inc.,marine_shipping,
SVRN,OceanPal Inc. Common Stock,marine_shipping,
TOPS,Top Ships Inc.,marine_shipping,
TORO,Toro Corp.,marine_shipping,
USEA,United Maritime Corporation,marine_shipping,
ZIM,ZIM Integrated Shipping Services Ltd.,marine_shipping,
