ticker,company_name,segment,sub_segment
ACHC,"Acadia Healthcare Company, Inc.",medical_care_facilities,
ADUS,Addus HomeCare Corporation,medical_care_facilities,
AMED,"Amedisys, Inc.",medical_care_facilities,
AMEH,"Apollo Medical Holdings, Inc.",medical_care_facilities,
AMN,"AMN Healthcare Services, Inc.",medical_care_facilities,
ARDT,"Ardent Health Partners, LLC",medical_care_facilities,
ASTH,"Astrana Health, Inc.",medical_care_facilities,
AVAH,Aveanna Healthcare Holdings Inc.,medical_care_facilities,
BKD,Brookdale Senior Living Inc.,medical_care_facilities,
BKDT,Brookdale Senior Living Inc. 7.,medical_care_facilities,
CHE,Chemed Corporation,medical_care_facilities,
DVA,DaVita Inc.,medical_care_facilities,
EHAB,"Enhabit, Inc.",medical_care_facilities,
EHC,Encompass Health Corporation,medical_care_facilities,
ENSG,"The Ensign Group, Inc.",medical_care_facilities,
HCA,"HCA Healthcare, Inc.",medical_care_facilities,
HCSG,"Healthcare Services Group, Inc.",medical_care_facilities,
INNV,InnovAge Holding Corp.,medical_care_facilities,
LFST,"LifeStance Health Group, Inc.",medical_care_facilities,
LHCG,"LHC Group, Inc.",medical_care_facilities,
MD,"Pediatrix Medical Group, Inc.",medical_care_facilities,
NHC,National HealthCare Corporation,medical_care_facilities,
OPCH,"Option Care Health, Inc.",medical_care_facilities,
OSH,"Oak Street Health, Inc.",medical_care_facilities,
PNTG,"The Pennant Group, Inc.",medical_care_facilities,
SEM,Select Medical Holdings Corporation,medical_care_facilities,
SGRY,"Surgery Partners, Inc.",medical_care_facilities,
SNDA,"Sonida Senior Living, Inc.",medical_care_facilities,
SOLV,Solventum Corporation,medical_care_facilities,
TALK,"Talkspace, Inc.",medical_care_facilities,
THC,Tenet Healthcare Corporation,medical_care_facilities,
UHS,"Universal Health Services, Inc.",medical_care_facilities,
USPH,"U.S. Physical Therapy, Inc.",medical_care_facilities,
