ticker,company_name,segment,sub_segment
BIO,"Bio-Rad Laboratories, Inc.",medical_devices,
BRKR,Bruker Corporation,medical_devices,
BRKRP,"Bruker Corporation 6.375% Mandatory Convertible Preferred Stock, Series A",medical_devices,
CTKB,"Cytek Biosciences, Inc.",medical_devices,
LAB,Standard BioTools Inc.,medical_devices,
MASS,908 Devices Inc.,medical_devices,
OWLT,"Owlet, Inc.",medical_devices,
PACB,"Pacific Biosciences of California, Inc.",medical_devices,
POAS,Phaos Technology Holdings (Caym,medical_devices,
QTRX,Quanterix Corporation,medical_devices,
RPID,"Rapid Micro Biosystems, Inc.",medical_devices,
